#PARAMS:size=3871,delta_q=4
Step,Time,Average Temperature,Kinetic,Potential
2000,0,395.061,197.675,-14059.3
2100,15,399.595,199.944,-14059.6
2200,30,420.02,210.164,-14069.4
2300,45,427.552,213.932,-14072.2
2400,60,423.521,211.915,-14067.3
2500,75,412.704,206.503,-14058.7
2600,90,413.229,206.765,-14056.7
2700,105,424.792,212.551,-14061.4
2800,120,433.561,216.939,-14064.4
2900,135,432.039,216.177,-14061.3
3000,150,424.627,212.469,-14054.7
3100,165,426.311,213.311,-14053.3
3200,180,435.088,217.703,-14056.3
3300,195,442.86,221.592,-14058.7
3400,210,440.771,220.547,-14055.3
3500,225,435.397,217.857,-14049.9
3600,240,435.723,218.021,-14047.9
3700,255,442.79,221.557,-14049.8
3800,270,447.671,223.999,-14050.5
3900,285,447.125,223.726,-14048
4000,300,446.248,223.287,-14045.1
4100,315,447.089,223.708,-14043.4
4200,330,450.625,225.477,-14043.4
4300,345,456.168,228.251,-14044.5
4400,360,456.536,228.435,-14042.5
4500,375,456.203,228.268,-14040.1
4600,390,455.35,227.841,-14037.5
4700,405,461.831,231.084,-14038.9
4800,420,465.076,232.708,-14038.7
4900,435,466.93,233.636,-14037.5
5000,450,465.526,232.933,-14034.6
5100,465,466.192,233.266,-14032.6
5200,480,468.637,234.49,-14031.9
5300,495,472.892,236.619,-14032.2
5400,510,474.969,237.658,-14031.3
5500,525,474.624,237.486,-14029
5600,540,476.474,238.411,-14027.7
5700,555,479.353,239.852,-14027.3
5800,570,483.017,241.685,-14027.3
5900,585,484.405,242.38,-14025.8
6000,600,482.312,241.332,-14022.5
6100,615,484.587,242.471,-14021.5
6200,630,489.516,244.937,-14022.3
6300,645,492.547,246.454,-14021.9
6400,660,491.746,246.053,-14019.2
6500,675,492.553,246.456,-14017.4
6600,690,495.539,247.951,-14016.9
6700,705,497.187,248.775,-14015.8
6800,720,500.326,250.346,-14015.4
6900,735,500.844,250.605,-14013.4
7000,750,501.667,251.017,-14011.8
7100,765,506.152,253.261,-14012.1
7200,780,507.169,253.77,-14010.7
7300,795,509.221,254.797,-14009.6
7400,810,509.646,255.009,-14007.8
7500,825,507.996,254.184,-14004.7
7600,840,512.133,256.254,-14004.8
7700,855,515.994,258.186,-14004.9
7800,870,519.225,259.802,-14004.6
7900,885,520.116,260.248,-14002.9
8000,900,520.058,260.219,-14000.7
8100,915,520.932,260.656,-13999.2
8200,930,523.615,261.999,-13998.5
8300,945,527.171,263.778,-13998.3
8400,960,528.007,264.197,-13996.7
8500,975,527.302,263.844,-13994.3
8600,990,528.632,264.509,-13993
8700,1005,533.119,266.754,-13993.2
8800,1020,534.128,267.259,-13991.6
8900,1035,537.905,269.149,-13991.6
9000,1050,538.55,269.472,-13989.8
9100,1065,538.501,269.447,-13987.6
9200,1080,538.605,269.499,-13985.6
9300,1095,541.466,270.931,-13985.1
9400,1110,547.057,273.728,-13986
9500,1125,548.154,274.277,-13984.6
9600,1140,548.269,274.335,-13982.4
9700,1155,548.453,274.427,-13980.4
9800,1170,551.311,275.857,-13980
9900,1185,556.459,278.433,-13980.8
10000,1200,558.148,279.278,-13979.4
10100,1215,557.005,278.706,-13976.8
10200,1230,558.233,279.32,-13975.2
10300,1245,559.519,279.964,-13973.7
10400,1260,560.45,280.43,-13972.3
10500,1275,563.455,281.934,-13971.7
10600,1290,566.951,283.682,-13971.5
10700,1305,567.93,284.172,-13970
10800,1320,572.229,286.323,-13970.2
10900,1335,571.128,285.773,-13967.5
11000,1350,567.526,283.97,-13963.4
11100,1365,571.274,285.846,-13963.4
11200,1380,578.178,289.301,-13965.1
11300,1395,579.945,290.185,-13964
11400,1410,579.305,289.864,-13961.5
11500,1425,579.801,290.112,-13959.6
11600,1440,580.906,290.666,-13958.2
11700,1455,584.015,292.221,-13957.7
11800,1470,585.279,292.853,-13956.2
11900,1485,585.727,293.077,-13954.3
12000,1500,586.759,293.594,-13952.7
12100,1515,591.022,295.727,-13953
12200,1530,595.423,297.929,-13953.2
12300,1545,592.362,296.397,-13949.4
12400,1560,596.109,298.273,-13949.2
12500,1575,598.786,299.612,-13948.5
12600,1590,598.351,299.394,-13946.2
12700,1605,602.851,301.646,-13946.4
12800,1620,600.403,300.421,-13943.2
12900,1635,608.703,304.574,-13945.4
13000,1650,605.185,302.813,-13941.6
13100,1665,602.043,301.241,-13937.7
13200,1680,611.251,305.849,-13940.5
13300,1695,611.235,305.841,-13938.4
13400,1710,616.816,308.633,-13939.3
13500,1725,616.022,308.236,-13936.8
13600,1740,614.074,307.261,-13933.5
13700,1755,616.437,308.444,-13932.7
13800,1770,618.056,309.254,-13931.5
13900,1785,621.437,310.945,-13931.2
14000,1800,624.435,312.446,-13930.7
14100,1815,625.299,312.878,-13929.1
14200,1830,626.959,313.708,-13927.8
14300,1845,628.986,314.723,-13926.8
14400,1860,629.41,314.935,-13925
14500,1875,631.07,315.766,-13923.7
14600,1890,631.029,315.745,-13921.5
14700,1905,630.804,315.632,-13919.3
14800,1920,637.391,318.929,-13920.6
14900,1935,639.56,320.014,-13919.7
15000,1950,642.73,321.6,-13919.3
15100,1965,641.78,321.125,-13916.7
15200,1980,645.442,322.957,-13916.6
15300,1995,644.369,322.42,-13914
15400,2010,644.052,322.261,-13911.8
15500,2025,648.898,324.686,-13912.2
15600,2040,650.733,325.604,-13911.1
15700,2055,648.734,324.604,-13907.9
15800,2070,649.756,325.116,-13906.3
15900,2085,655.556,328.018,-13907.4
16000,2100,658.862,329.672,-13907
16100,2115,654.874,327.677,-13902.7
16200,2130,652.154,326.315,-13899.3
16300,2145,658.142,329.312,-13900.3
16400,2160,659.175,329.828,-13898.9
16500,2175,662.687,331.586,-13898.7
16600,2190,662.357,331.42,-13896.3
16700,2205,660.917,330.7,-13893.5
16800,2220,665.305,332.896,-13893.9
16900,2235,669.73,335.11,-13894.1
17000,2250,669.269,334.879,-13891.7
17100,2265,674.876,337.685,-13892.6
17200,2280,679.803,340.15,-13893.1
17300,2295,671.232,335.861,-13886.5
17400,2310,670.804,335.647,-13884.3
17500,2325,680.595,340.546,-13887.3
17600,2340,681.575,341.036,-13885.8
17700,2355,682.142,341.32,-13883.9
17800,2370,682.238,341.368,-13881.9
17900,2385,685.504,343.003,-13881.5
18000,2400,684.569,342.535,-13879
18100,2415,682.972,341.735,-13876.1
18200,2430,689.409,344.956,-13877.2
18300,2445,693.411,346.959,-13877.4
18400,2460,695.063,347.786,-13876.2
18500,2475,692.821,346.663,-13872.9
18600,2490,691.212,345.859,-13869.9
18700,2505,693.24,346.874,-13868.9
18800,2520,701.229,350.871,-13871.2
18900,2535,701.828,351.17,-13869.5
19000,2550,702.193,351.353,-13867.4
19100,2565,696.301,348.405,-13862.3
19200,2580,707.571,354.044,-13866.1
19300,2595,708.934,354.726,-13864.8
19400,2610,709.414,354.966,-13862.8
19500,2625,702.655,351.584,-13857.4
19600,2640,707.766,354.142,-13857.9
19700,2655,708.892,354.705,-13856.6
19800,2670,717.425,358.975,-13859
19900,2685,723.328,361.928,-13860
20000,2700,713.457,356.989,-13852.7
20100,2715,712.09,356.305,-13849.8
20200,2730,719.655,360.091,-13851.6
20300,2745,721.351,360.939,-13850.7
20400,2760,718.745,359.635,-13847.4
20500,2775,717.312,358.918,-13844.4
20600,2790,718.508,359.516,-13842.9
20700,2805,724.674,362.602,-13844.2
20800,2820,727.526,364.029,-13843.7
20900,2835,724.529,362.529,-13840.1
21000,2850,719.387,359.956,-13835.3
21100,2865,727.061,363.796,-13837.2
21200,2880,730.037,365.285,-13836.9
21300,2895,730.01,365.272,-13834.8
21400,2910,726.502,363.516,-13830.7
21500,2925,728.028,364.28,-13829.5
21600,2940,730.85,365.692,-13829.1
21700,2955,731.938,366.236,-13827.5
21800,2970,730.36,365.447,-13824.5
21900,2985,733.548,367.042,-13824.2
22000,3000,736.712,368.625,-13823.7
22100,3015,735.659,368.098,-13821.1
22200,3030,738.595,369.567,-13820.5
22300,3045,746.825,373.685,-13822.7
22400,3060,744.767,372.656,-13819.6
22500,3075,750.253,375.401,-13820.3
22600,3090,747.17,373.858,-13816.7
22700,3105,746.341,373.443,-13814.3
22800,3120,752.096,376.323,-13815.2
22900,3135,755.584,378.068,-13815
23000,3150,757.254,378.904,-13814
23100,3165,752.856,376.703,-13809.5
23200,3180,755.845,378.199,-13808.8
23300,3195,761.776,381.166,-13810
23400,3210,761.477,381.017,-13808
23500,3225,759.686,380.121,-13804.8
23600,3240,760.754,380.655,-13803.3
23700,3255,766.041,383.3,-13803.9
23800,3270,764.946,382.753,-13801.5
23900,3285,766.254,383.407,-13800.2
24000,3300,766.014,383.287,-13798
24100,3315,764.367,382.463,-13795
24200,3330,776.259,388.413,-13799.1
24300,3345,768.09,384.326,-13792.8
24400,3360,768.42,384.491,-13790.8
24500,3375,777.73,389.149,-13793.6
24600,3390,777.769,389.169,-13791.7
24700,3405,776.815,388.691,-13789
24800,3420,780.303,390.436,-13788.8
24900,3435,780.16,390.365,-13786.8
25000,3450,784.523,392.548,-13787
25100,3465,776.034,388.301,-13780.5
25200,3480,774.318,387.442,-13777.6
25300,3495,779.157,389.863,-13778.3
25400,3510,780.711,390.641,-13777
25500,3525,774.228,387.397,-13771.4
25600,3540,777.603,389.086,-13771.1
25700,3555,782.386,391.479,-13771.7
25800,3570,788.166,394.371,-13772.7
25900,3585,785.373,392.973,-13769
26000,3600,787.325,393.95,-13767.9
26100,3615,787.834,394.205,-13766.3
26200,3630,795.323,397.952,-13768.2
26300,3645,788.554,394.565,-13762.4
26400,3660,790.077,395.327,-13761.3
26500,3675,790.07,395.324,-13759.2
26600,3690,792.507,396.543,-13758.4
26700,3705,797.1,398.841,-13758.8
26800,3720,786.616,393.595,-13751.2
26900,3735,792.677,396.628,-13752.2
27000,3750,794.815,397.698,-13751.4
