#PARAMS:size=10179,delta_q=4
Step,Time,Average Temperature,Kinetic,Potential
2000,0,420.564,553.352,-37218
2100,15,398.7,524.585,-37178.3
2200,30,427.679,562.713,-37222
2300,45,380.549,500.703,-37142.8
2400,60,427.887,562.987,-37211.4
2500,75,404.162,531.771,-37165.3
2600,90,427.24,562.136,-37194.8
2700,105,430.377,566.263,-37194.5
2800,120,405.662,533.745,-37150.7
2900,135,439.061,577.688,-37198.9
3000,150,404.984,532.853,-37138.7
3100,165,436.936,574.893,-37182.4
3200,180,428.88,564.294,-37163.1
3300,195,427.308,562.225,-37155
3400,210,442.962,582.822,-37174.6
3500,225,420.929,553.832,-37134.3
3600,240,445.484,586.14,-37167.2
3700,255,429.446,565.038,-37135.5
3800,270,445.916,586.709,-37155.1
3900,285,443.945,584.115,-37146.4
4000,300,438.72,577.24,-37132.2
4100,315,453.422,596.584,-37150
4200,330,436.824,574.746,-37118.4
4300,345,456.433,600.546,-37143.1
4400,360,446.606,587.616,-37121.6
4500,375,453.76,597.029,-37127
4600,390,458.359,603.081,-37128.4
4700,405,450.388,592.592,-37110.2
4800,420,464.431,611.069,-37126.5
4900,435,454.65,598.199,-37105.3
5000,450,465.95,613.067,-37117.2
5100,465,462.373,608.361,-37105.6
5200,480,465.056,611.892,-37104.2
5300,495,469.24,617.397,-37105
5400,510,466.593,613.914,-37095.1
5500,525,474.298,624.052,-37101.3
5600,540,468.208,616.038,-37086
5700,555,478.193,629.176,-37095.7
5800,570,473.704,623.27,-37083.2
5900,585,479.075,630.337,-37085.3
6000,600,481.694,633.782,-37083.8
6100,615,479.489,630.882,-37074.6
6200,630,486.01,639.461,-37079
6300,645,482.917,635.392,-37068.4
6400,660,488.078,642.182,-37070.5
6500,675,489.78,644.422,-37067.2
6600,690,489.559,644.131,-37061.2
6700,705,495.045,651.349,-37064
6800,720,492.829,648.433,-37054.9
6900,735,498.622,656.056,-37058
7000,750,496.059,652.683,-37048.5
7100,765,501.32,659.605,-37050.6
7200,780,500.614,658.676,-37043.8
7300,795,503.484,662.453,-37042.7
7400,810,505.166,664.666,-37039.4
7500,825,507.59,667.856,-37037.2
7600,840,509.605,670.506,-37034.6
7700,855,510.11,671.171,-37029.6
7800,870,514.328,676.721,-37030.1
7900,885,513.264,675.321,-37023
8000,900,517.023,680.267,-37023
8100,915,518.18,681.789,-37019
8200,930,519.673,683.753,-37015.7
8300,945,522.536,687.52,-37014.2
8400,960,522.07,686.908,-37007.9
8500,975,526.977,693.364,-37009.5
8600,990,525.099,690.893,-37001.3
8700,1005,530.501,698,-37003.5
8800,1020,530.112,697.489,-36997.1
8900,1035,532.686,700.875,-36995.6
9000,1050,533.66,702.156,-36991.2
9100,1065,536.649,706.089,-36990
9200,1080,537.106,706.691,-36985.2
9300,1095,539.653,710.041,-36983.4
9400,1110,541.175,712.044,-36979.9
9500,1125,542.655,713.992,-36976.4
9600,1140,544.939,716.996,-36974.3
9700,1155,545.011,717.091,-36968.5
9800,1170,550.857,724.784,-36971.7
9900,1185,547.886,720.874,-36961.7
10000,1200,552.696,727.203,-36963.3
10100,1215,554.137,729.099,-36959.7
10200,1230,554.402,729.448,-36954.4
10300,1245,559.498,736.153,-36956.4
10400,1260,556.918,732.758,-36946.9
10500,1275,562.018,739.468,-36948.9
10600,1290,560.903,738.002,-36941.7
10700,1305,563.634,741.595,-36940.1
10800,1320,565.924,744.608,-36937.7
10900,1335,568.547,748.058,-36935.9
11000,1350,567.967,747.296,-36929.5
11100,1365,571.07,751.378,-36928.3
11200,1380,572.596,753.386,-36924.9
