#PARAMS:size=1415,delta_q=4
Step,Time,Average Temperature,Kinetic,Potential
2000,0,412.172,75.3875,-5099.96
2100,15,427.492,78.1895,-5102.08
2200,30,415.635,76.0209,-5099.04
2300,45,420.107,76.8388,-5099.22
2400,60,426.015,77.9195,-5099.62
2500,75,429.665,78.5869,-5099.62
2600,90,431.391,78.9027,-5099.21
2700,105,432.216,79.0536,-5098.55
2800,120,435.302,79.618,-5098.4
2900,135,437.365,79.9953,-5098.02
3000,150,434.251,79.4258,-5096.65
3100,165,437.787,80.0725,-5096.52
3200,180,437.609,80.0399,-5095.74
3300,195,441.693,80.7869,-5095.73
3400,210,444.78,81.3515,-5095.62
3500,225,447.075,81.7713,-5095.3
3600,240,448.553,82.0416,-5094.84
3700,255,451.394,82.5613,-5094.64
3800,270,454.882,83.1993,-5094.59
3900,285,456.187,83.4379,-5093.99
4000,300,456.619,83.5169,-5093.41
4100,315,457.547,83.6867,-5092.8
4200,330,457.195,83.6224,-5091.96
4300,345,458.329,83.8298,-5091.43
4400,360,463.413,84.7597,-5091.62
4500,375,464.721,84.9989,-5091.22
4600,390,467.393,85.4875,-5090.92
4700,405,467.931,85.5859,-5090.23
4800,420,467.013,85.4181,-5089.29
4900,435,472.4,86.4033,-5089.57
5000,450,473.814,86.662,-5089.1
5100,465,475.583,86.9855,-5088.7
5200,480,475.76,87.0179,-5087.96
5300,495,476.72,87.1934,-5087.44
5400,510,480.447,87.8751,-5087.38
5500,525,480.944,87.9661,-5086.69
5600,540,484.074,88.5385,-5086.59
5700,555,487.409,89.1486,-5086.5
5800,570,493.335,90.2324,-5086.85
5900,585,489.333,89.5004,-5085.37
6000,600,491.096,89.8229,-5084.88
6100,615,491.819,89.9552,-5084.26
6200,630,495.714,90.6674,-5084.24
6300,645,497.291,90.956,-5083.79
6400,660,498.36,91.1514,-5083.23
6500,675,499.369,91.336,-5082.63
6600,690,499.532,91.3658,-5081.91
6700,705,503.902,92.1651,-5082.04
6800,720,503.703,92.1288,-5081.24
6900,735,508.014,92.9173,-5081.35
7000,750,511.093,93.4804,-5081.16
7100,765,510.834,93.4331,-5080.35
7200,780,514.871,94.1714,-5080.29
7300,795,510.801,93.427,-5078.76
7400,810,516.966,94.5546,-5079.15
7500,825,516.075,94.3917,-5078.2
7600,840,515.408,94.2696,-5077.28
