#STRS:name=Hot & fast strain
Step,Time,Total Energy,Potential,Kinetic,Temperature,Strain,Stress
48000,240000,-2312.86884,-2502.458121,189.5892807,480.8944794,0.3951479071,0.0007127446709
48800,244000,-2274.788738,-2466.252741,191.464003,485.6497251,0.4034668104,0.000516376813
49600,248000,-2180.2684,-2370.818862,190.5504617,483.3325216,0.4117857138,0.0004772999367
50400,252000,-2126.539556,-2319.541313,193.0017562,489.5502464,0.4201046171,0.0004726933823
51200,256000,-2058.552162,-2255.474861,196.9226982,499.495742,0.4284235204,8.933310634e-05
52000,260000,-2017.723978,-2216.723974,198.9999952,504.7648197,0.4367424237,0.0005309329741
52800,264000,-1944.070044,-2142.393888,198.3238441,503.049758,0.445061327,0.0004029915189
53600,268000,-1876.721956,-2072.650321,195.9283651,496.9736094,0.4533802303,0.0004187912884
54400,272000,-1792.614131,-1989.653909,197.0397778,499.7927153,0.4616991336,0.0002803584986
55200,276000,-1699.662522,-1902.870832,203.2083101,515.4392387,0.4700180369,0.0004427452423
56000,280000,-1630.466172,-1831.067135,200.6009631,508.8256856,0.4783369402,0.000302969518
56800,284000,-1530.830515,-1731.51434,200.6838249,509.0358651,0.4866558435,0.0001555176875
57600,288000,-1500.793222,-1703.658194,202.8649723,514.56836,0.4949747468,0.0003710827308
58400,292000,-1447.709855,-1653.512846,205.8029906,522.0206632,0.5032936501,0.0004022381863
59200,296000,-1365.567495,-1567.697138,202.1296438,512.7031944,0.5116125535,0.0002376054333
60000,300000,-1318.063371,-1521.774592,203.7112208,516.7148752,0.5199314568,0.0001624976555
60800,304000,-1262.170375,-1469.992239,207.8218639,527.1415489,0.5282503601,0.0004758584475
61600,308000,-1215.601344,-1420.308868,204.707524,519.2420047,0.5365692634,0.0004431823565
62400,312000,-1174.252006,-1378.569401,204.3173946,518.2524389,0.5448881667,0.0002280023939
63200,316000,-1122.764599,-1326.237554,203.4729559,516.1105145,0.55320707,0.0003959992557
64000,320000,-1099.327255,-1304.370369,205.0431139,520.0932309,0.5615259733,0.0004566621694
64800,324000,-1037.969724,-1242.8582,204.8884755,519.7009895,0.5698448766,0.0002360062398
65600,328000,-1006.793299,-1217.193557,210.400258,533.6816626,0.5781637799,0.0003460363696
66400,332000,-978.8392028,-1188.151492,209.3122895,530.9220233,0.5864826832,0.0005343907477
67200,336000,-947.4677526,-1155.47532,208.0075674,527.612587,0.5948015865,0.0004333146503
68000,340000,-911.1931981,-1119.226173,208.0329749,527.6770332,0.6031204898,0.0002193675424
68800,344000,-879.660161,-1088.242721,208.5825602,529.07106,0.6114393931,0.0002725125887
69600,348000,-856.2436908,-1064.555143,208.3114518,528.5566891,0.6197582965,0.0005979833932
70400,352000,-822.7127909,-1032.319518,209.6067275,532.1923352,0.6280771998,0.0003738860237
71200,356000,-793.7074482,-1003.371957,209.6645089,532.3390424,0.6363961031,0.0004987412256
72000,360000,-758.9042776,-966.2668017,207.3625241,526.4942936,0.6447150064,0.0003228810243
72800,364000,-734.8331341,-941.7560027,206.9228687,525.5504879,0.6530339097,0.0003371410402
73600,368000,-703.9281073,-910.1537568,206.2256495,524.1238034,0.661352813,0.0002664383279
74400,372000,-659.7341323,-862.8075709,203.0734387,516.961588,0.6696717163,0.0001269249591
