#PARAMS:size=12431,delta_q=4
Step,Time,Average Temperature,Kinetic,Potential
2000,0,425.193,683.213,-45509
2100,15,374.324,601.475,-45402.6
2200,30,421.4,677.118,-45486.8
2300,45,389.489,625.842,-45416
2400,60,426.43,685.202,-45478.5
2500,75,407.892,655.414,-45434.1
2600,90,429.028,689.375,-45466.5
2700,105,423.075,679.809,-45448.4
2800,120,422.847,679.444,-45440.4
2900,135,433.587,696.701,-45455.5
3000,150,412.995,663.613,-45408.9
3100,165,440.992,708.599,-45456.8
3200,180,409.885,658.616,-45389.7
3300,195,444.93,714.927,-45450.3
3400,210,415.868,668.229,-45387.1
3500,225,444.239,713.817,-45434
3600,240,429.283,689.785,-45397.3
3700,255,443.555,712.719,-45417.4
3800,270,439.803,706.689,-45402.9
3900,285,442.665,711.288,-45400.9
4000,300,448.617,720.852,-45405.8
4100,315,441.463,709.356,-45384.7
4200,330,455.129,731.315,-45404.4
4300,345,441.244,709.005,-45370.4
4400,360,459.493,738.328,-45399
4500,375,442.529,711.07,-45359.5
4600,390,462.462,743.098,-45390.4
4700,405,449.899,722.912,-45359.2
4800,420,463.184,744.258,-45377.2
4900,435,457.14,734.547,-45358.8
5000,450,463.585,744.903,-45363.7
5100,465,464.518,746.402,-45358.3
5200,480,464.844,746.926,-45351.6
5300,495,470.494,756.004,-45355.5
5400,510,467.289,750.855,-45342.3
5500,525,474.132,761.85,-45348.3
5600,540,470.46,755.949,-45334.1
5700,555,477.173,766.736,-45340.1
5800,570,473.473,760.791,-45325.8
5900,585,481.977,774.456,-45334.9
6000,600,476.681,765.946,-45317.7
6100,615,486.81,782.222,-45329.6
6200,630,479.585,770.611,-45309.4
6300,645,489.037,785.8,-45319.8
6400,660,485.832,780.65,-45306.8
6500,675,491.156,789.205,-45309.5
6600,690,491.751,790.161,-45303.8
6700,705,492.616,791.551,-45298.2
6800,720,496.293,797.459,-45298.2
6900,735,495.568,796.295,-45289.7
7000,750,500.275,803.857,-45291.4
7100,765,499.412,802.471,-45282.7
7200,780,503.835,809.578,-45284
7300,795,502.163,806.891,-45274
7400,810,507.292,815.133,-45276.7
7500,825,505.458,812.185,-45266.2
7600,840,511.451,821.816,-45270.1
7700,855,509.423,818.557,-45259.4
7800,870,515.219,827.869,-45263.2
7900,885,512.97,824.257,-45251.9
8000,900,518.269,832.771,-45254.6
8100,915,518.681,833.433,-45248.4
8200,930,521.39,837.785,-45246.1
8300,945,522.022,838.801,-45240.9
8400,960,523.573,841.294,-45236.6
8500,975,526.923,846.677,-45235.8
8600,990,526.206,845.524,-45227.4
8700,1005,532.117,855.022,-45231.3
8800,1020,528.343,848.959,-45217.6
8900,1035,534.121,858.242,-45221.3
9000,1050,534.509,858.866,-45214.8
9100,1065,536.447,861.98,-45211.7
9200,1080,539.122,866.277,-45209.4
9300,1095,540.377,868.295,-45205
9400,1110,542.874,872.308,-45202.5
9500,1125,544.226,874.479,-45198.3
9600,1140,544.584,875.054,-45191.9
9700,1155,548.159,880.798,-45191.4
9800,1170,548.266,880.97,-45184.7
9900,1185,551.101,885.527,-45182.9
10000,1200,553.251,888.981,-45179.9
10100,1215,554.59,891.133,-45175.3
10200,1230,557.296,895.481,-45173.4
10300,1245,557.581,895.938,-45166.8
10400,1260,562.161,903.297,-45168.3
10500,1275,559.123,898.415,-45156.2
10600,1290,565.857,909.236,-45161.3
10700,1305,562.453,903.766,-45148.4
10800,1320,569.739,915.474,-45154.7
10900,1335,566.168,909.736,-45141.5
11000,1350,571.709,918.64,-45144.6
11100,1365,571.109,917.676,-45136.7
11200,1380,574.084,922.456,-45134.9
11300,1395,574.069,922.431,-45128.1
11400,1410,577.808,928.44,-45127.8
11500,1425,577.498,927.941,-45120.5
11600,1440,580.475,932.726,-45118.9
11700,1455,581.361,934.149,-45113.5
11800,1470,585.896,941.436,-45114.9
11900,1485,584.831,939.725,-45106
12000,1500,589.404,947.073,-45107.3
12100,1515,589.709,947.564,-45101.1
12200,1530,590.901,949.479,-45096.5
12300,1545,593.999,954.456,-45095
12400,1560,594.66,955.518,-45089.8
12500,1575,596.476,958.437,-45085.8
12600,1590,598.891,962.317,-45083.5
12700,1605,600.564,965.005,-45079.6
12800,1620,601.663,966.772,-45075
12900,1635,603.755,970.132,-45071.7
13000,1650,605.051,972.215,-45067.2
13100,1665,608.702,978.081,-45066.7
13200,1680,606.249,974.14,-45055.9
13300,1695,611.926,983.261,-45058.9
13400,1710,610.601,981.132,-45049.7
13500,1725,613.792,986.26,-45048.8
13600,1740,614.521,987.431,-45043.1
13700,1755,616.184,990.104,-45039.3
13800,1770,620.382,996.848,-45039.7
13900,1785,619.668,995.703,-45031.8
14000,1800,623.018,1001.08,-45031.1
14100,1815,622.354,1000.02,-45022.7
14200,1830,626.093,1006.03,-45022.8
14300,1845,626.664,1006.94,-45016.8
14400,1860,629.705,1011.83,-45015.3
14500,1875,631.791,1015.18,-45012
14600,1890,633.09,1017.27,-45007.8
14700,1905,634.214,1019.08,-45003
14800,1920,634.242,1019.12,-44996.4
14900,1935,638.728,1026.33,-44997.1
15000,1950,639.161,1027.02,-44991
15100,1965,642.28,1032.04,-44990
15200,1980,641.179,1030.27,-44981.2
15300,1995,645.762,1037.63,-44982.5
15400,2010,645.59,1037.35,-44975.3
15500,2025,649.037,1042.89,-44974.7
15600,2040,649.499,1043.63,-44968.7
15700,2055,651.115,1046.23,-44964.5
15800,2070,654.256,1051.28,-44963.4
15900,2085,654.87,1052.27,-44957.7
16000,2100,656.614,1055.07,-44953.9
16100,2115,659.359,1059.48,-44952
16200,2130,661.097,1062.27,-44948
16300,2145,662.306,1064.21,-44943.5
16400,2160,660.553,1061.4,-44934.1
16500,2175,665.582,1069.48,-44935.9
16600,2190,666.541,1071.02,-44930.6
16700,2205,667.698,1072.88,-44926.1
16800,2220,669.756,1076.19,-44922.9
16900,2235,670.065,1076.68,-44916.7
17000,2250,672.04,1079.85,-44913.2
17100,2265,673.641,1082.43,-44909.4
17200,2280,676.232,1086.59,-44907
17300,2295,679.793,1092.31,-44906.3
17400,2310,677.403,1088.47,-44895.3
17500,2325,683.432,1098.16,-44899.1
17600,2340,680.294,1093.12,-44886.7
17700,2355,686.297,1102.76,-44890.6
17800,2370,685.202,1101,-44881.7
17900,2385,687.388,1104.52,-44878.9
18000,2400,687.582,1104.83,-44872.8
18100,2415,689.139,1107.33,-44868.7
18200,2430,692.391,1112.56,-44867.2
18300,2445,692.892,1113.36,-44861.4
18400,2460,696.137,1118.57,-44860.1
18500,2475,695.791,1118.02,-44853.1
18600,2490,699.33,1123.71,-44852.4
18700,2505,697.545,1120.84,-44842.6
18800,2520,704.187,1131.51,-44847.1
18900,2535,700.306,1125.27,-44833.8
19000,2550,706.466,1135.17,-44837.8
19100,2565,705.451,1133.54,-44829
19200,2580,709.225,1139.6,-44829
19300,2595,708.13,1137.85,-44820.6
19400,2610,712.469,1144.82,-44821
19500,2625,713.271,1146.11,-44815.4
19600,2640,713.52,1146.51,-44809.4
19700,2655,712.485,1144.84,-44801
19800,2670,719.454,1156.04,-44805.8
19900,2685,719.414,1155.98,-44799
20000,2700,721.739,1159.71,-44796.3
20100,2715,721.123,1158.72,-44788.5
20200,2730,724.642,1164.38,-44788.1
20300,2745,724.448,1164.06,-44781
20400,2760,726.649,1167.6,-44778.3
20500,2775,727.029,1168.21,-44771.8
20600,2790,730.177,1173.27,-44770.9
20700,2805,728.997,1171.38,-44761.9
20800,2820,734.561,1180.32,-44764.8
20900,2835,734.157,1179.67,-44757.4
21000,2850,737.172,1184.51,-44755.9
21100,2865,737.46,1184.97,-44749.6
21200,2880,742.811,1193.57,-44752.1
21300,2895,740.5,1189.86,-44741.6
21400,2910,741.747,1191.86,-44737
21500,2925,744.238,1195.86,-44734.7
21600,2940,743.826,1195.2,-44727.2
21700,2955,748.865,1203.3,-44729.3
21800,2970,747.048,1200.38,-44719.3
21900,2985,750.555,1206.01,-44718.7
22000,3000,749.914,1204.98,-44711
22100,3015,750.449,1205.84,-44705.5
22200,3030,752.562,1209.24,-44702.3
22300,3045,753.435,1210.64,-44696.9
22400,3060,760.739,1222.38,-44702.7
22500,3075,758.017,1218.01,-44691.4
22600,3090,760.372,1221.79,-44689.1
22700,3105,757.048,1216.45,-44676.7
22800,3120,764.907,1229.08,-44683.4
22900,3135,761.169,1223.07,-44670.4
23000,3150,765.495,1230.02,-44671.2
23100,3165,765.369,1229.82,-44664.1
23200,3180,769.851,1237.02,-44665.3
23300,3195,768.351,1234.61,-44656.2
23400,3210,774.864,1245.08,-44660.7
23500,3225,768.655,1235.1,-44643.3
23600,3240,773.414,1242.75,-44645.2
23700,3255,770.652,1238.31,-44633.2
23800,3270,777.972,1250.07,-44639.2
23900,3285,775.392,1245.92,-44627.9
24000,3300,779.275,1252.16,-44628
24100,3315,777.767,1249.74,-44618.6
24200,3330,781.389,1255.56,-44618.3
24300,3345,782.618,1257.54,-44613.5
24400,3360,784.575,1260.68,-44610.2
24500,3375,784.763,1260.98,-44604
24600,3390,789.481,1268.56,-44604.9
24700,3405,789.709,1268.93,-44599.1
24800,3420,788.041,1266.25,-44589.7
24900,3435,790.69,1270.51,-44587.5
25000,3450,789.367,1268.38,-44578.3
25100,3465,796.545,1279.91,-44584.1
25200,3480,790.735,1270.58,-44567.4
25300,3495,798.429,1282.94,-44574
25400,3510,794.319,1276.34,-44560
25500,3525,799.667,1284.93,-44562.7
25600,3540,797.685,1281.74,-44552.5
25700,3555,799.691,1284.97,-44549.5
25800,3570,801.318,1287.58,-44545.4
25900,3585,805.928,1294.99,-44546.2
26000,3600,805.97,1295.06,-44539.9
26100,3615,806.006,1295.12,-44533.4
26200,3630,807.707,1297.85,-44529.9
26300,3645,806.923,1296.59,-44522
26400,3660,807.011,1296.73,-44515.8
26500,3675,809.658,1300.98,-44513.1
26600,3690,814.709,1309.1,-44515.2
26700,3705,812.734,1305.93,-44505.1
26800,3720,815.976,1311.13,-44504
26900,3735,813.259,1306.77,-44492.7
27000,3750,819.719,1317.15,-44497
27100,3765,816.147,1311.41,-44484.4
27200,3780,819.995,1317.59,-44484.5
27300,3795,813.9,1307.8,-44467.6
27400,3810,820.23,1317.97,-44471.7
27500,3825,816.729,1312.35,-44459.1
27600,3840,821.567,1320.12,-44460.9
27700,3855,818.158,1314.64,-44448.4
27800,3870,821.848,1320.57,-44448.4
27900,3885,817.866,1314.17,-44435.1
28000,3900,822.31,1321.31,-44436.1
28100,3915,820.831,1318.94,-44426.8
28200,3930,824.444,1324.74,-44426
28300,3945,822.714,1321.96,-44416.7
28400,3960,824.958,1325.57,-44413.7
28500,3975,829.779,1333.32,-44415.5
28600,3990,826.4,1327.89,-44403.1
28700,4005,825.82,1326.95,-44395.7
28800,4020,832.17,1337.16,-44399.6
28900,4035,831.054,1335.36,-44391.2
29000,4050,834.316,1340.6,-44390
29100,4065,832.59,1337.83,-44380.5
29200,4080,832.668,1337.96,-44374.1
29300,4095,836.346,1343.87,-44374
29400,4110,831.504,1336.09,-44358.8
29500,4125,839.875,1349.54,-44366.6
29600,4140,834.346,1340.65,-44350.3
29700,4155,839.529,1348.98,-44352.8
29800,4170,830.184,1333.96,-44330.5
29900,4185,841.073,1351.46,-44342.2
30000,4200,835.518,1342.54,-44326.2
30100,4215,841.675,1352.43,-44330
30200,4230,838.194,1346.84,-44317.5
30300,4245,837.638,1345.94,-44310.1
30400,4260,838.043,1346.59,-44304.3
30500,4275,836.759,1344.53,-44295.7
30600,4290,835.105,1341.87,-44286.6
30700,4305,837.712,1346.06,-44284.4
30800,4320,840.848,1351.1,-44282.9
30900,4335,838.933,1348.02,-44273.1
31000,4350,841.182,1351.64,-44270.4
31100,4365,837.328,1345.45,-44257.4
31200,4380,840.328,1350.26,-44256.1
31300,4395,838.035,1346.58,-44245.6
31400,4410,840.079,1349.86,-44242.6
31500,4425,840.858,1351.12,-44237.3
31600,4440,838.873,1347.93,-44227.2
31700,4455,838.356,1347.1,-44220.2
31800,4470,840.052,1349.82,-44216.1
31900,4485,844.275,1356.61,-44216.6
32000,4500,843.433,1355.25,-44208.7
32100,4515,842.384,1353.57,-44200
32200,4530,844.623,1357.17,-44197.4
32300,4545,846.669,1360.45,-44194
32400,4560,846.188,1359.68,-44186.8
32500,4575,847.934,1362.49,-44182.9
32600,4590,847.739,1362.17,-44176
32700,4605,853.099,1370.79,-44178.3
32800,4620,851.375,1368.02,-44168.6
32900,4635,854.967,1373.79,-44168
33000,4650,852.981,1370.6,-44158.2
33100,4665,849.735,1365.38,-44146.4
33200,4680,853.227,1370.99,-44145.4
33300,4695,852.544,1369.89,-44137.8
33400,4710,853.692,1371.74,-44133.1
33500,4725,852.77,1370.26,-44125.1
33600,4740,855.989,1375.43,-44124
33700,4755,852.991,1370.61,-44112.2
33800,4770,864.621,1389.3,-44125
33900,4785,855.248,1374.24,-44102.8
34000,4800,863.268,1387.13,-44110
34100,4815,852.585,1369.96,-44085.3
34200,4830,856.096,1375.6,-44085.2
34300,4845,851.111,1367.59,-44069.8
34400,4860,857.524,1377.9,-44074.3
34500,4875,848.25,1362.99,-44052.3
34600,4890,854.048,1372.31,-44055.4
34700,4905,852.334,1369.56,-44045.9
34800,4920,856.871,1376.85,-44046.9
34900,4935,852.192,1369.33,-44032.6
35000,4950,851.68,1368.51,-44025.3
35100,4965,852.846,1370.38,-44020.6
35200,4980,853.159,1370.88,-44014.5
35300,4995,847.264,1361.41,-43998.5
35400,5010,851.383,1368.03,-43998.6
35500,5025,856.943,1376.96,-44001.3
35600,5040,853.046,1370.7,-43988.1
35700,5055,856.802,1376.74,-43988.1
35800,5070,855.568,1374.75,-43979.3
35900,5085,856.106,1375.62,-43973.9
36000,5100,853.587,1371.57,-43963.2
36100,5115,852.434,1369.72,-43954.9
36200,5130,853.963,1372.17,-43950.9
36300,5145,853.605,1371.6,-43943.8
36400,5160,853.967,1372.18,-43938
36500,5175,855.086,1373.98,-43933.2
36600,5190,851.821,1368.73,-43921.4
36700,5205,856.701,1376.57,-43922.8
36800,5220,853.573,1371.55,-43911
36900,5235,853.41,1371.29,-43904.2
37000,5250,853.552,1371.51,-43897.7
37100,5265,854.773,1373.48,-43893.3
37200,5280,853.589,1371.57,-43884.7
37300,5295,852.343,1369.57,-43876.1
37400,5310,848.692,1363.7,-43863.3
37500,5325,856.751,1376.65,-43870.2
37600,5340,852.471,1369.78,-43856.3
37700,5355,849.097,1364.36,-43844.2
37800,5370,858.472,1379.42,-43853.2
37900,5385,858.379,1379.27,-43846.4
38000,5400,855.403,1374.49,-43834.9
38100,5415,857.976,1378.62,-43832.6
38200,5430,854.481,1373.01,-43820.5
38300,5445,859.686,1381.37,-43822.1
38400,5460,860.918,1383.35,-43818.1
38500,5475,855.634,1374.86,-43802.5
38600,5490,858.742,1379.85,-43801.2
38700,5505,860.855,1383.25,-43798.1
38800,5520,859.449,1380.99,-43789.2
38900,5535,860.229,1382.24,-43783.6
39000,5550,861.262,1383.9,-43778.8
39100,5565,861.031,1383.53,-43771.9
39200,5580,859.538,1381.13,-43763
39300,5595,857.815,1378.36,-43753.2
39400,5610,859.977,1381.84,-43750.5
39500,5625,856.96,1376.99,-43739
39600,5640,856.354,1376.02,-43731.7
39700,5655,857.519,1377.89,-43726.8
39800,5670,856.113,1375.63,-43718.2
39900,5685,862.92,1386.57,-43722.8
40000,5700,860.163,1382.14,-43711.6
40100,5715,864.119,1388.49,-43711.7
40200,5730,863.326,1387.22,-43703.9
40300,5745,864.062,1388.4,-43698.5
40400,5760,868.451,1395.45,-43699.1
