#PARAMS:size=6525,delta_q=4
Step,Time,Average Temperature,Kinetic,Potential
2000,0,416.315,351.129,-23797.3
2100,15,390.497,329.353,-23768.7
2200,30,422.932,356.71,-23798.3
2300,45,419.278,353.628,-23790
2400,60,397.617,335.358,-23765
2500,75,428.603,361.493,-23792.2
2600,90,425.926,359.235,-23785.7
2700,105,404.82,341.434,-23761.1
2800,120,430.755,363.308,-23783
2900,135,433.459,365.589,-23782
3000,150,414.073,349.238,-23759.2
3100,165,433.867,365.933,-23774.9
3200,180,438.396,369.753,-23775.8
3300,195,422.193,356.087,-23755.9
3400,210,438.486,369.828,-23768
3500,225,443.552,374.101,-23769.8
3600,240,429.779,362.485,-23752.1
3700,255,440.577,371.592,-23759.1
3800,270,449.333,378.977,-23764.1
3900,285,436.844,368.444,-23747.9
4000,300,444.32,374.749,-23751.6
4100,315,453.54,382.526,-23757.4
4200,330,443.834,374.34,-23743.8
4300,345,449.871,379.431,-23746
4400,360,457.267,385.669,-23750
4500,375,451.671,380.949,-23740.2
4600,390,454.697,383.502,-23739.8
4700,405,463.768,391.152,-23744.9
4800,420,457.064,385.498,-23734.4
4900,435,460.799,388.648,-23734.4
5000,450,468.11,394.814,-23738.2
5100,465,462.733,390.279,-23729.1
5200,480,465.172,392.336,-23727.6
5300,495,472.177,398.244,-23730.9
5400,510,470.029,396.432,-23725
5500,525,473.141,399.057,-23724.3
5600,540,475.89,401.375,-23723.6
5700,555,475.14,400.743,-23719.1
5800,570,479.209,404.175,-23719.2
5900,585,481.368,405.996,-23718
6000,600,480.215,405.024,-23713
6100,615,483.279,407.608,-23712.4
6200,630,489.319,412.702,-23714.7
6300,645,484.921,408.993,-23706.8
6400,660,487.492,411.161,-23705.5
6500,675,494.033,416.678,-23708.2
6600,690,491.07,414.179,-23701.7
6700,705,492.612,415.48,-23699.7
6800,720,497.922,419.958,-23700.9
6900,735,499.088,420.941,-23698.3
7000,750,499.529,421.314,-23695.3
7100,765,503.122,424.344,-23695
7200,780,502.81,424.081,-23691
7300,795,505.214,426.109,-23689.7
7400,810,507.762,428.257,-23688.4
7500,825,506.332,427.051,-23683.4
7600,840,510.527,430.59,-23683.8
7700,855,512.326,432.106,-23682
7800,870,514.452,433.9,-23680.2
7900,885,517.074,436.111,-23679
8000,900,518.562,437.366,-23676.9
8100,915,520.255,438.794,-23674.8
8200,930,522.723,440.876,-23673.7
8300,945,523.015,441.122,-23670.3
8400,960,525.606,443.308,-23669.1
8500,975,526.318,443.908,-23666.1
8600,990,528.078,445.392,-23664.3
8700,1005,530.782,447.673,-23663.2
8800,1020,530.896,447.769,-23659.6
8900,1035,534.06,450.438,-23659
9000,1050,536.66,452.631,-23657.7
9100,1065,536.737,452.696,-23654.3
9200,1080,540.329,455.725,-23653.9
9300,1095,541.188,456.45,-23651.1
9400,1110,542.791,457.802,-23649.1
9500,1125,547.218,461.535,-23649.6
9600,1140,545.092,459.742,-23644.1
9700,1155,547.311,461.614,-23642.6
9800,1170,551.481,465.131,-23643
9900,1185,550.277,464.115,-23638.3
10000,1200,554.258,467.473,-23638.2
10100,1215,557.169,469.928,-23637.3
10200,1230,558.219,470.814,-23634.8
10300,1245,557.973,470.606,-23630.9
10400,1260,561.262,473.381,-23630.5
10500,1275,563.148,474.971,-23628.7
10600,1290,563.934,475.634,-23625.5
10700,1305,566.105,477.466,-23624.1
10800,1320,570.351,481.046,-23624.5
10900,1335,569.668,480.47,-23620.3
11000,1350,567.976,479.043,-23615
11100,1365,574.598,484.629,-23617.4
11200,1380,578.171,487.642,-23617.3
11300,1395,574.128,484.232,-23609.9
11400,1410,576.793,486.48,-23608.9
11500,1425,581.582,490.518,-23609.6
11600,1440,583.385,492.039,-23607.5
11700,1455,580.111,489.278,-23601
11800,1470,586.831,494.946,-23603.6
11900,1485,587.996,495.928,-23601.1
12000,1500,587.776,495.743,-23597.3
12100,1515,589.897,497.532,-23595.8
12200,1530,593.129,500.257,-23594.9
12300,1545,595.106,501.925,-23593.4
12400,1560,596.751,503.313,-23591.3
12500,1575,597.069,503.58,-23588
12600,1590,600.947,506.852,-23588.2
12700,1605,599.404,505.55,-23583.2
12800,1620,602.883,508.484,-23582.7
12900,1635,606.246,511.321,-23582.4
13000,1650,606.851,511.831,-23579.1
13100,1665,604.922,510.204,-23573.9
13200,1680,609.627,514.173,-23574.5
13300,1695,612.796,516.846,-23574
13400,1710,611.563,515.806,-23569.2
13500,1725,613.824,517.713,-23567.6
13600,1740,616.585,520.041,-23566.8
13700,1755,618.306,521.492,-23564.9
13800,1770,618.898,521.992,-23561.8
13900,1785,620.939,523.714,-23560.1
14000,1800,623.139,525.569,-23558.7
14100,1815,627.151,528.953,-23558.8
14200,1830,623.707,526.048,-23552
14300,1845,630.213,531.535,-23554.2
14400,1860,630.262,531.577,-23550.9
14500,1875,628.49,530.082,-23545.7
14600,1890,634.622,535.254,-23547.8
14700,1905,635.509,536.002,-23544.9
14800,1920,637.889,538.01,-23543.7
14900,1935,639.35,539.242,-23541.5
15000,1950,637.344,537.549,-23536
15100,1965,642.705,542.071,-23537.5
15200,1980,643.9,543.079,-23535
15300,1995,641.837,541.339,-23529.6
15400,2010,649.706,547.976,-23533.2
15500,2025,646.759,545.49,-23526.8
15600,2040,651.319,549.337,-23527.5
15700,2055,652.65,550.459,-23525.2
15800,2070,648.764,547.181,-23518.1
15900,2085,655.502,552.864,-23520.8
16000,2100,653.733,551.373,-23515.8
16100,2115,655.401,552.779,-23513.6
16200,2130,664.147,560.156,-23517.9
16300,2145,657.701,554.719,-23508.5
16400,2160,659.662,556.373,-23506.9
16500,2175,664.824,560.727,-23508
16600,2190,665.365,561.183,-23504.9
16700,2205,665.905,561.639,-23501.9
16800,2220,669.97,565.067,-23501.9
16900,2235,668.667,563.968,-23497.1
17000,2250,673.998,568.464,-23498.4
17100,2265,673.029,567.647,-23494
17200,2280,674.494,568.882,-23491.7
17300,2295,677.321,571.267,-23490.6
17400,2310,678.512,572.272,-23488.4
17500,2325,681.329,574.648,-23487.4
17600,2340,678.372,572.154,-23481.4
17700,2355,683.513,576.49,-23482.5
17800,2370,681.581,574.86,-23477
17900,2385,688.166,580.414,-23479.5
18000,2400,686.982,579.415,-23475.1
18100,2415,684.936,577.69,-23469.6
18200,2430,691.481,583.21,-23472.1
18300,2445,693.218,584.675,-23470.1
18400,2460,686.923,579.366,-23461
18500,2475,694.586,585.829,-23464.3
18600,2490,701.95,592.04,-23467
18700,2505,695.422,586.534,-23457.9
18800,2520,699.638,590.09,-23458
18900,2535,706.66,596.013,-23461
19000,2550,700.259,590.614,-23451.7
19100,2565,705.306,594.871,-23452.6
19200,2580,707.055,596.345,-23450.8
19300,2595,708.375,597.459,-23448.3
19400,2610,710.064,598.883,-23446.3
19500,2625,712.512,600.948,-23445
19600,2640,711.706,600.268,-23440.8
19700,2655,714.874,602.94,-23440
19800,2670,716.494,604.306,-23438.1
19900,2685,718.849,606.293,-23436.6
20000,2700,717.553,605.2,-23432
20100,2715,720.662,607.822,-23431.3
20200,2730,720.956,608.07,-23427.9
20300,2745,728.257,614.228,-23430.9
20400,2760,724.909,611.404,-23424.7
20500,2775,724.553,611.104,-23420.7
20600,2790,729.378,615.173,-23421.4
20700,2805,732.611,617.9,-23420.8
20800,2820,730.311,615.96,-23415.2
20900,2835,732.005,617.389,-23413.2
21000,2850,733.451,618.608,-23411.1
21100,2865,735.386,620.24,-23409.2
21200,2880,736.075,620.821,-23406.6
21300,2895,736.989,621.592,-23403.9
21400,2910,742.708,626.416,-23405.4
21500,2925,736.421,621.113,-23396.2
21600,2940,747.051,630.079,-23402.2
21700,2955,746.291,629.438,-23398.1
21800,2970,745.457,628.734,-23393.6
21900,2985,749.797,632.395,-23394.1
22000,3000,747.136,630.151,-23388.3
22100,3015,750.602,633.074,-23387.9
22200,3030,750.552,633.032,-23384.4
22300,3045,750.839,633.274,-23381.3
22400,3060,753.21,635.274,-23379.9
22500,3075,751.205,633.583,-23374.8
22600,3090,752.155,634.384,-23371.9
22700,3105,760.002,641.002,-23375.4
22800,3120,755.296,637.033,-23367.7
22900,3135,754.997,636.78,-23363.8
23000,3150,763.61,644.045,-23368.2
23100,3165,754.584,636.432,-23356.6
23200,3180,760.156,641.132,-23358.1
