#PARAMS:size=2057,delta_q=4
Step,Time,Average Temperature,Kinetic,Potential
2000,0,410.956,109.268,-7438.5
2100,15,411.404,109.387,-7437.59
2200,30,415.395,110.448,-7437.58
2300,45,419.411,111.516,-7437.61
2400,60,420.224,111.732,-7436.85
2500,75,424.265,112.807,-7436.86
2600,90,425.951,113.255,-7436.22
2700,105,425.715,113.192,-7435.13
2800,120,431.226,114.658,-7435.53
2900,135,434.062,115.412,-7435.29
3000,150,435.474,115.787,-7434.53
3100,165,438.609,116.621,-7434.38
3200,180,438.774,116.665,-7433.26
3300,195,439.827,116.945,-7432.43
3400,210,440.906,117.232,-7431.64
3500,225,444.933,118.302,-7431.67
3600,240,446.946,118.837,-7431.07
3700,255,448.856,119.345,-7430.55
3800,270,452.016,120.186,-7430.31
3900,285,452.281,120.256,-7429.29
4000,300,453.78,120.655,-7428.55
4100,315,456.322,121.331,-7428.15
4200,330,458.746,121.975,-7427.72
4300,345,461.876,122.807,-7427.44
4400,360,462.224,122.9,-7426.42
4500,375,464.256,123.44,-7425.83
4600,390,467.051,124.183,-7425.59
4700,405,468.374,124.535,-7424.85
4800,420,467.614,124.333,-7423.55
4900,435,469.725,124.894,-7423.03
5000,450,472.771,125.704,-7422.72
5100,465,475.698,126.482,-7422.46
5200,480,476.973,126.821,-7421.7
5300,495,479.041,127.371,-7421.18
5400,510,481.462,128.015,-7420.71
5500,525,480.07,127.645,-7419.25
5600,540,483.466,128.548,-7419.07
5700,555,483.84,128.647,-7418.1
5800,570,486.743,129.419,-7417.83
5900,585,489.13,130.054,-7417.33
6000,600,489.657,130.194,-7416.32
6100,615,490.507,130.42,-7415.43
6200,630,490.538,130.428,-7414.4
6300,645,494.069,131.367,-7414.26
6400,660,495.456,131.736,-7413.53
6500,675,497.584,132.302,-7413.08
6600,690,497.798,132.358,-7412.03
6700,705,502.008,133.478,-7412.04
6800,720,500.697,133.129,-7410.54
6900,735,503.454,133.862,-7410.17
7000,750,504.953,134.261,-7409.5
7100,765,509.251,135.404,-7409.53
7200,780,509.774,135.543,-7408.53
7300,795,509.859,135.565,-7407.49
7400,810,512.038,136.145,-7407.01
7500,825,514.496,136.798,-7406.51
7600,840,514.673,136.845,-7405.39
7700,855,515.94,137.182,-7404.67
7800,870,518.044,137.742,-7404.07
7900,885,521.557,138.676,-7403.9
8000,900,525.347,139.683,-7403.86
8100,915,527.146,140.162,-7403.27
8200,930,533.346,141.81,-7403.92
8300,945,532.839,141.675,-7402.67
8400,960,533.941,141.968,-7401.93
8500,975,533.477,141.845,-7400.77
8600,990,535.494,142.381,-7400.16
8700,1005,537.518,142.92,-7399.59
8800,1020,539.458,143.435,-7399.07
8900,1035,541.331,143.933,-7398.47
9000,1050,541.773,144.051,-7397.48
9100,1065,541.124,143.878,-7396.17
9200,1080,543.334,144.466,-7395.65
9300,1095,548.6,145.866,-7396.06
9400,1110,550.88,146.472,-7395.58
9500,1125,551.997,146.769,-7394.79
9600,1140,553.505,147.17,-7394.05
9700,1155,554.329,147.389,-7393.26
9800,1170,554.421,147.414,-7392.19
9900,1185,558.348,148.458,-7392.17
10000,1200,559.659,148.807,-7391.38
10100,1215,560.746,149.096,-7390.64
10200,1230,564.947,150.213,-7390.69
10300,1245,566.43,150.607,-7390.07
10400,1260,569.8,151.503,-7389.78
10500,1275,567.377,150.859,-7388.09
10600,1290,570.969,151.814,-7387.93
10700,1305,573.522,152.493,-7387.55
10800,1320,574.757,152.821,-7386.84
10900,1335,574.279,152.694,-7385.61
11000,1350,579.808,154.164,-7385.99
11100,1365,580.113,154.245,-7384.97
11200,1380,580.68,154.396,-7384.12
11300,1395,582.685,154.929,-7383.54
11400,1410,584.687,155.461,-7382.95
11500,1425,587.374,156.176,-7382.56
11600,1440,588.703,156.529,-7381.69
11700,1455,587.545,156.221,-7380.27
11800,1470,589.206,156.663,-7379.62
11900,1485,589.783,156.816,-7378.63
12000,1500,589.911,156.85,-7377.58
12100,1515,591.478,157.267,-7376.93
12200,1530,593.003,157.672,-7376.11
12300,1545,595.591,158.36,-7375.75
12400,1560,600.991,159.796,-7376.23
12500,1575,604.343,160.687,-7376.08
12600,1590,603.291,160.408,-7374.76
12700,1605,603.811,160.546,-7373.7
12800,1620,606.805,161.342,-7373.37
12900,1635,603.775,160.536,-7371.41
13000,1650,609.997,162.191,-7372.02
13100,1665,614.117,163.286,-7372.05
13200,1680,611.512,162.594,-7370.24
13300,1695,616.563,163.937,-7370.45
13400,1710,618.188,164.369,-7369.91
13500,1725,620.675,165.03,-7369.5
13600,1740,624.899,166.153,-7369.61
13700,1755,624.703,166.101,-7368.46
13800,1770,621.314,165.2,-7366.45
13900,1785,624.524,166.053,-7366.19
14000,1800,624.708,166.102,-7365.15
14100,1815,622.955,165.636,-7363.54
14200,1830,629.603,167.404,-7364.33
14300,1845,633.907,168.548,-7364.39
14400,1860,632.788,168.251,-7363.06
14500,1875,634.95,168.825,-7362.51
14600,1890,636.429,169.219,-7361.81
14700,1905,636.482,169.233,-7360.73
14800,1920,638.17,169.682,-7360.06
14900,1935,646.16,171.806,-7361.17
15000,1950,646.447,171.882,-7360.22
15100,1965,650.043,172.838,-7360.14
15200,1980,644.595,171.39,-7357.65
15300,1995,646.826,171.983,-7357.11
15400,2010,654.936,174.14,-7358.15
15500,2025,652.751,173.559,-7356.51
15600,2040,652.107,173.387,-7355.16
15700,2055,656.207,174.477,-7355.25
15800,2070,652.458,173.481,-7353.08
15900,2085,655.106,174.185,-7352.63
16000,2100,660.21,175.542,-7352.87
16100,2115,660.814,175.702,-7351.99
16200,2130,662.92,176.262,-7351.49
16300,2145,659.728,175.414,-7349.46
16400,2160,662.403,176.125,-7349.12
16500,2175,659.072,175.239,-7347.11
16600,2190,665.053,176.829,-7347.58
16700,2205,663.863,176.513,-7346.19
16800,2220,669.671,178.057,-7346.57
16900,2235,666.065,177.099,-7344.51
17000,2250,669.143,177.917,-7344.35
17100,2265,674.786,179.417,-7344.84
17200,2280,677.617,180.17,-7344.56
17300,2295,680.238,180.867,-7344.2
17400,2310,682.362,181.432,-7343.65
17500,2325,682.16,181.378,-7342.54
17600,2340,678.111,180.301,-7340.37
17700,2355,686.392,182.503,-7341.49
17800,2370,684.996,182.132,-7340.09
17900,2385,689.812,183.413,-7340.21
18000,2400,692.068,184.013,-7339.78
18100,2415,687.61,182.827,-7337.52
18200,2430,693.918,184.504,-7338.08
18300,2445,692.93,184.242,-7336.66
18400,2460,696.726,185.251,-7336.49
18500,2475,692.27,184.066,-7334.28
18600,2490,693.38,184.361,-7333.34
18700,2505,692.065,184.012,-7331.94
18800,2520,692.364,184.091,-7330.84
18900,2535,700.579,186.275,-7331.93
19000,2550,704.776,187.391,-7331.99
19100,2565,709.089,188.538,-7332.17
19200,2580,716.548,190.521,-7333.09
19300,2595,713.668,189.756,-7331.17
19400,2610,712.131,189.347,-7329.64
19500,2625,711.229,189.107,-7328.28
19600,2640,707.609,188.145,-7326.27
19700,2655,716.606,190.537,-7327.58
19800,2670,716.741,190.573,-7326.54
19900,2685,721.863,191.935,-7326.79
20000,2700,717.296,190.72,-7324.46
20100,2715,728.214,193.623,-7326.32
20200,2730,727.496,193.432,-7325.01
20300,2745,725.037,192.778,-7323.23
20400,2760,728.408,193.675,-7323.1
20500,2775,733.238,194.959,-7323.4
20600,2790,732.068,194.648,-7321.94
20700,2805,732.49,194.76,-7321.04
20800,2820,727.444,193.418,-7318.51
20900,2835,728.425,193.679,-7317.73
21000,2850,733.35,194.989,-7317.98
21100,2865,737.848,196.185,-7318.07
21200,2880,724.554,192.65,-7313.42
21300,2895,733.205,194.95,-7314.67
21400,2910,730.4,194.205,-7312.83
21500,2925,727.659,193.476,-7310.97
21600,2940,731.541,194.508,-7311
21700,2955,728.597,193.725,-7309.09
21800,2970,729.391,193.936,-7308.29
21900,2985,737.87,196.191,-7309.42
22000,3000,734.023,195.168,-7307.32
22100,3015,746.985,198.614,-7309.73
22200,3030,748.859,199.112,-7309.12
22300,3045,745.397,198.192,-7307.07
22400,3060,748.83,199.105,-7306.89
22500,3075,744.662,197.996,-7304.68
22600,3090,745.063,198.103,-7303.65
22700,3105,749.8,199.363,-7303.76
22800,3120,747.528,198.759,-7302.08
22900,3135,750.882,199.65,-7301.77
23000,3150,747.315,198.702,-7299.85
23100,3165,750.94,199.666,-7299.68
23200,3180,751.267,199.753,-7298.64
23300,3195,753.029,200.221,-7298.08
