#PARAMS:size=2869,delta_q=4
Step,Time,Average Temperature,Kinetic,Potential
18300,2445,684.573,253.872,-10259.9
18400,2460,697.634,258.716,-10263.3
18500,2475,697.61,258.706,-10261.8
18600,2490,696.313,258.225,-10259.7
18700,2505,695.623,257.97,-10257.8
18800,2520,703.403,260.855,-10259.2
18900,2535,700.224,259.676,-10256.6
19000,2550,705.188,261.517,-10257
19100,2565,711.726,263.941,-10258
19200,2580,708.065,262.584,-10255
19300,2595,710.551,263.506,-10254.4
19400,2610,710.666,263.548,-10252.9
19500,2625,711.299,263.783,-10251.7
19600,2640,715.005,265.157,-10251.6
19700,2655,716.386,265.67,-10250.7
19800,2670,721.773,267.667,-10251.2
19900,2685,717.663,266.143,-10248.1
20000,2700,713.791,264.707,-10244.9
20100,2715,712.363,264.178,-10242.9
20200,2730,721.413,267.534,-10244.9
20300,2745,726.99,269.602,-10245.5
20400,2760,728.844,270.29,-10244.7
20500,2775,723.022,268.13,-10240.9
20600,2790,724.206,268.57,-10239.8
20700,2805,725.695,269.122,-10238.9
20800,2820,725.63,269.098,-10237.5
20900,2835,734.988,272.568,-10239.4
21000,2850,730.507,270.906,-10236.3
21100,2865,728.071,270.003,-10233.8
21200,2880,721.384,267.523,-10229.7
21300,2895,728.674,270.227,-10230.9
21400,2910,737.767,273.599,-10232.8
21500,2925,735.164,272.633,-10230.2
21600,2940,739.715,274.321,-10230.6
21700,2955,745.207,276.358,-10231.1
21800,2970,744.514,276.101,-10229.4
21900,2985,743.025,275.548,-10227.3
22000,3000,745.362,276.415,-10226.5
22100,3015,747.516,277.214,-10225.9
22200,3030,746.029,276.663,-10223.9
22300,3045,741.053,274.817,-10220.4
22400,3060,745.815,276.583,-10220.6
22500,3075,746.191,276.723,-10219.3
22600,3090,748.812,277.695,-10218.8
22700,3105,746.457,276.821,-10216.4
22800,3120,751.128,278.554,-10216.6
22900,3135,754.858,279.937,-10216.5
23000,3150,743.325,275.66,-10210.7
23100,3165,751.064,278.53,-10212
23200,3180,756.955,280.714,-10212.7
23300,3195,755.35,280.119,-10210.6
