#PARAMS:size=923,delta_q=4
Step,Time,Average Temperature,Kinetic,Potential
2000,0,428.062,51.0708,-3313.37
2100,15,420.945,50.2216,-3311.87
2200,30,426.033,50.8288,-3312.04
2300,45,431.042,51.4263,-3312.2
2400,60,430.48,51.3592,-3311.57
2500,75,433.114,51.6735,-3311.41
2600,90,436.371,52.0621,-3311.35
2700,105,436.958,52.1321,-3310.9
2800,120,440.339,52.5355,-3310.87
2900,135,438.449,52.3101,-3310.12
3000,150,440.039,52.4997,-3309.87
3100,165,443.309,52.8898,-3309.74
3200,180,441.878,52.7191,-3309.05
3300,195,445.975,53.2079,-3309.08
3400,210,451.622,53.8817,-3309.29
3500,225,448.816,53.5469,-3308.38
3600,240,452.789,54.0208,-3308.4
3700,255,459.363,54.8052,-3308.77
3800,270,455.349,54.3263,-3307.78
3900,285,453.555,54.1122,-3307.07
4000,300,461.804,55.0965,-3307.63
4100,315,465.834,55.5773,-3307.57
4200,330,464.896,55.4654,-3306.95
4300,345,468.67,55.9156,-3307.01
4400,360,468.846,55.9366,-3306.49
4500,375,467.434,55.7681,-3305.81
4600,390,471.012,56.195,-3305.74
4700,405,471.43,56.2449,-3305.31
4800,420,471.893,56.3001,-3304.94
4900,435,479.761,57.2388,-3305.4
5000,450,477.58,56.9787,-3304.63
5100,465,478.035,57.033,-3304.21
5200,480,485.794,57.9586,-3304.66
5300,495,484.642,57.8212,-3304.06
5400,510,483.723,57.7115,-3303.47
5500,525,490.428,58.5115,-3303.79
5600,540,485.885,57.9695,-3302.69
5700,555,489.604,58.4132,-3302.67
5800,570,491.664,58.6589,-3302.43
5900,585,493.798,58.9135,-3302.22
6000,600,493.734,58.906,-3301.73
6100,615,497.1,59.3074,-3301.65
6200,630,496.292,59.2111,-3301.05
6300,645,499.361,59.5773,-3300.95
6400,660,498.802,59.5106,-3300.37
6500,675,503.513,60.0726,-3300.43
6600,690,505.43,60.3013,-3300.18
6700,705,510.245,60.8758,-3300.31
6800,720,510.936,60.9583,-3299.92
6900,735,507.491,60.5472,-3298.98
7000,750,510.608,60.9191,-3298.85
7100,765,509.82,60.8251,-3298.26
7200,780,512.709,61.1697,-3298.1
7300,795,521.608,62.2314,-3298.72
7400,810,520.017,62.0416,-3298.06
7500,825,519.696,62.0034,-3297.51
7600,840,519.462,61.9754,-3296.94
7700,855,525.342,62.6769,-3297.23
7800,870,527.092,62.8857,-3297.02
7900,885,528.935,63.1056,-3296.73
8000,900,532.545,63.5363,-3296.69
8100,915,532.732,63.5586,-3296.22
8200,930,537.197,64.0914,-3296.25
8300,945,534.048,63.7156,-3295.38
8400,960,534.13,63.7254,-3294.95
8500,975,543.489,64.8421,-3295.6
8600,990,545.586,65.0922,-3295.29
8700,1005,540.357,64.4684,-3294.22
8800,1020,540.466,64.4814,-3293.75
8900,1035,546.868,65.2452,-3294.03
9000,1050,543.855,64.8857,-3293.18
9100,1065,547.269,65.293,-3293.08
9200,1080,551.982,65.8553,-3293.17
9300,1095,556.422,66.385,-3293.18
9400,1110,551.952,65.8518,-3292.14
9500,1125,549.845,65.6004,-3291.39
9600,1140,558.83,66.6723,-3292.03
9700,1155,560.649,66.8893,-3291.75
