#PARAMS:size=5083,delta_q=4
Step,Time,Average Temperature,Kinetic,Potential
2000,0,425.315,279.444,-18517.8
2100,15,421.536,276.961,-18511.4
2200,30,396.197,260.313,-18488.8
2300,45,414.587,272.395,-18499.7
2400,60,430.118,282.6,-18509.8
2500,75,421.428,276.89,-18499.5
2600,90,407.273,267.59,-18485.8
2700,105,427.596,280.943,-18498.5
2800,120,435.203,285.941,-18501.9
2900,135,423.53,278.271,-18489.7
3000,150,418.724,275.114,-18483.1
3100,165,436.109,286.536,-18493.5
3200,180,438.989,288.428,-18493
3300,195,429.204,281.999,-18482.5
3400,210,432.109,283.908,-18481.7
3500,225,444.025,291.737,-18488.2
3600,240,441.442,290.04,-18483.4
3700,255,435.56,286.175,-18475.7
3800,270,443.549,291.424,-18479
3900,285,451.368,296.562,-18482.3
4000,300,447.526,294.037,-18476.4
4100,315,444.316,291.928,-18471
4200,330,453.065,297.676,-18474.7
4300,345,455.447,299.242,-18474
4400,360,452.401,297.24,-18468.5
4500,375,452.974,297.617,-18466
4600,390,460.498,302.56,-18469.1
4700,405,460.256,302.401,-18466
4800,420,459.852,302.136,-18462.6
4900,435,463.519,304.545,-18462.7
5000,450,467.889,307.416,-18463
5100,465,466.632,306.59,-18459.2
5200,480,467.158,306.936,-18456.7
5300,495,472.132,310.204,-18457.7
5400,510,474.145,311.527,-18456.5
5500,525,473.367,311.015,-18453
5600,540,475.339,312.312,-18451.5
5700,555,477.524,313.747,-18450.4
5800,570,482.315,316.895,-18451.1
5900,585,481.504,316.362,-18447.7
6000,600,482.07,316.734,-18445.2
6100,615,487.005,319.976,-18446.1
6200,630,487.467,320.28,-18443.7
6300,645,486.827,319.859,-18440.3
6400,660,490.777,322.455,-18440.4
6500,675,494.791,325.092,-18440.6
6600,690,494.365,324.812,-18437.5
6700,705,495.203,325.363,-18435.1
6800,720,498.003,327.202,-18434.4
6900,735,499.757,328.355,-18433
7000,750,502.638,330.248,-18432.1
7100,765,505.307,332.001,-18431.3
7200,780,504.692,331.597,-18428
7300,795,506.367,332.698,-18426.5
7400,810,508.947,334.393,-18425.5
7500,825,510.489,335.406,-18423.9
7600,840,512.379,336.648,-18422.5
7700,855,514.715,338.183,-18421.4
7800,870,516.222,339.173,-18419.7
7900,885,517.363,339.922,-18417.8
8000,900,518.954,340.968,-18416.1
8100,915,522.128,343.053,-18415.5
8200,930,524.761,344.783,-18414.7
8300,945,525.705,345.403,-18412.6
8400,960,525.579,345.32,-18409.6
8500,975,528.014,346.92,-18408.8
8600,990,531.247,349.045,-18408.4
8700,1005,533.853,350.757,-18407.3
8800,1020,532.443,349.83,-18403.5
8900,1035,534.863,351.42,-18402.6
9000,1050,537.59,353.212,-18401.6
9100,1065,539.983,354.785,-18400.6
9200,1080,542.946,356.731,-18399.8
9300,1095,543.006,356.77,-18397.3
9400,1110,544.901,358.016,-18395.7
9500,1125,544.197,357.553,-18392.5
9600,1140,548.335,360.272,-18392.8
9700,1155,550.127,361.449,-18391.3
9800,1170,549.139,360.8,-18387.8
9900,1185,550.474,361.677,-18386.1
10000,1200,557.131,366.051,-18387.9
10100,1215,557.408,366.233,-18385.4
10200,1230,557.169,366.076,-18382.3
10300,1245,558.488,366.943,-18380.6
10400,1260,561.318,368.802,-18379.9
10500,1275,564.579,370.945,-18379.5
10600,1290,562.949,369.874,-18375.5
10700,1305,564.134,370.652,-18373.6
10800,1320,566.949,372.502,-18372.9
10900,1335,570.205,374.641,-18372.3
11000,1350,573.96,377.108,-18372.3
11100,1365,572.058,375.859,-18368.2
11200,1380,576.027,378.466,-18368.1
11300,1395,576.413,378.72,-18365.6
11400,1410,580.326,381.291,-18365.8
11500,1425,583.412,383.318,-18365.1
11600,1440,580.971,381.715,-18360.6
11700,1455,585.159,384.466,-18360.8
11800,1470,584.477,384.018,-18357.7
11900,1485,587.387,385.93,-18357.1
12000,1500,588.503,386.663,-18355
12100,1515,589.475,387.302,-18352.9
12200,1530,591.188,388.427,-18351.4
12300,1545,593.449,389.913,-18350.1
12400,1560,594.559,390.642,-18348.1
12500,1575,599.351,393.791,-18348.7
12600,1590,600.992,394.869,-18347.1
12700,1605,598.44,393.192,-18342.5
12800,1620,601.062,394.915,-18341.6
12900,1635,604.515,397.184,-18341.3
13000,1650,609.909,400.727,-18342.4
13100,1665,606.197,398.289,-18336.9
13200,1680,608.332,399.691,-18335.6
13300,1695,613.071,402.805,-18336.5
13400,1710,611.436,401.731,-18332.4
13500,1725,612.377,402.349,-18330.2
13600,1740,617.427,405.667,-18331.1
13700,1755,615.028,404.091,-18326.6
13800,1770,617.168,405.497,-18325.5
13900,1785,623.981,409.974,-18327.5
14000,1800,621.091,408.075,-18322.7
14100,1815,624.437,410.273,-18322.3
14200,1830,624.55,410.347,-18319.7
14300,1845,627.959,412.587,-18319.4
14400,1860,631.204,414.719,-18319.1
14500,1875,631.183,414.705,-18316.1
14600,1890,628.663,413.049,-18311.6
14700,1905,636.045,417.899,-18314
14800,1920,635.606,417.611,-18311.2
14900,1935,637.392,418.785,-18309.4
15000,1950,637.977,419.169,-18307.2
15100,1965,642.457,422.113,-18307.7
