#PARAMS:size=8217,delta_q=4
Step,Time,Average Temperature,Kinetic,Potential
2000,0,405.169,430.342,-29991.7
2100,15,403.055,428.096,-29985.2
2200,30,426.908,453.432,-30014
2300,45,392.237,416.607,-29963.7
2400,60,423.462,449.771,-29997.3
2500,75,430.047,456.766,-30001.6
2600,90,397.992,422.719,-29957.2
2700,105,431.663,458.482,-29995.2
2800,120,421.879,448.09,-29977.1
2900,135,418.792,444.811,-29968.3
3000,150,434.677,461.683,-29985
3100,165,416.539,442.419,-29957
3200,180,434.714,461.723,-29974.6
3300,195,436.214,463.316,-29972
3400,210,424.224,450.581,-29952.2
3500,225,444.318,471.923,-29973
3600,240,432.733,459.619,-29953.7
3700,255,436.919,464.065,-29953.8
3800,270,447.784,475.605,-29963.5
3900,285,435.886,462.968,-29943.5
4000,300,446.265,473.992,-29951.9
4100,315,449.154,477.06,-29950.8
4200,330,442.35,469.833,-29937.6
4300,345,455.579,483.884,-29949.6
4400,360,447.993,475.827,-29935.4
4500,375,453.343,481.509,-29937.1
4600,390,460.909,489.545,-29942
4700,405,451.601,479.659,-29925.7
4800,420,461.31,489.971,-29933.4
4900,435,462.362,491.088,-29929.7
5000,450,458.849,487.357,-29920.7
5100,465,467.298,496.331,-29926.8
5200,480,464.922,493.808,-29918.8
5300,495,468.027,497.105,-29918.3
5400,510,472.399,501.749,-29918.8
5500,525,470.178,499.39,-29911.6
5600,540,476.262,505.852,-29914.4
5700,555,474.423,503.899,-29907.4
5800,570,477.573,507.245,-29906.8
5900,585,479.819,509.63,-29905
6000,600,478.509,508.239,-29898.8
6100,615,483.326,513.354,-29900.2
6200,630,485.059,515.195,-29897.5
6300,645,485.746,515.925,-29893.7
6400,660,490.02,520.465,-29894.5
6500,675,487.59,517.883,-29887
6600,690,491.581,522.123,-29887.3
6700,705,495.555,526.343,-29887.5
6800,720,493.036,523.668,-29879.9
6900,735,499.157,530.17,-29882.8
7000,750,499.173,530.186,-29878
7100,765,500.24,531.32,-29874.7
7200,780,504.078,535.397,-29874.9
7300,795,502.489,533.708,-29868.4
7400,810,507.416,538.942,-29869.9
7500,825,508.603,540.202,-29866.6
7600,840,508.696,540.302,-29862.2
7700,855,513.4,545.297,-29863.4
7800,870,512.124,543.942,-29857.2
7900,885,514.759,546.741,-29855.9
8000,900,516.61,548.707,-29853.6
8100,915,517.393,549.538,-29849.9
8200,930,522.264,554.712,-29851.3
8300,945,519.957,552.262,-29843.9
8400,960,525.12,557.746,-29845.4
8500,975,526.125,558.812,-29842.2
8600,990,527.071,559.817,-29838.4
8700,1005,530.252,563.197,-29837.9
8800,1020,531.903,564.95,-29835.4
8900,1035,532.58,565.669,-29831.5
9000,1050,536.957,570.318,-29832.2
