Step,Time,Total Energy,Potential,Kinetic,Temperature
8700,26100,-3361.26232,-3365.032388,3.770068281,31.59972964
8800,26400,-3360.642231,-3363.914253,3.272022166,27.42523693
8900,26700,-3360.628276,-3363.973276,3.345000564,28.03692283
9000,27000,-3360.945106,-3364.985863,4.040756982,33.86857178
9100,27300,-3361.111976,-3364.900159,3.78818226,31.75155629
9200,27600,-3360.523124,-3364.715597,4.192473496,35.14022005
9300,27900,-3360.791126,-3364.911174,4.120047405,34.53316344
9400,28200,-3360.926248,-3365.166986,4.240738479,35.54476456
9500,28500,-3360.891565,-3366.15377,5.262205017,44.10643083
9600,28800,-3360.595859,-3364.729167,4.133308226,34.64431217
9700,29100,-3360.922846,-3365.034792,4.111945145,34.46525241
9800,29400,-3361.072884,-3365.4323,4.359415726,36.53948631
9900,29700,-3360.355592,-3365.167451,4.811859607,40.33175299
10000,30000,-3360.436435,-3365.187535,4.751099293,39.82247587
10100,30300,-3357.254026,-3363.91897,6.664944481,55.86382738
10200,30600,-3352.594459,-3361.501411,8.906952048,74.65575042
10300,30900,-3348.500465,-3358.499507,9.999042055,83.8093642
10400,31200,-3345.200916,-3359.033268,13.83235187,115.9391679
10500,31500,-3341.706644,-3353.935055,12.22841144,102.4953573
10600,31800,-3337.801556,-3354.00678,16.20522364,135.8279605
10700,32100,-3334.455721,-3352.958544,18.5028229,155.0858387
10800,32400,-3332.371488,-3352.248048,19.87656041,166.6001484
10900,32700,-3328.569348,-3349.579337,21.00998925,176.1002535
11000,33000,-3325.054534,-3345.53502,20.4804859,171.6620945
11100,33300,-3323.152921,-3341.79801,18.64508892,156.2782753
11200,33600,-3320.837956,-3341.989396,21.15143983,177.2858554
11300,33900,-3317.370714,-3340.994148,23.62343474,198.0054724
11400,34200,-3314.277812,-3341.756097,27.47828502,230.3158227
11500,34500,-3312.68135,-3341.335304,28.65395414,240.1699748
11600,34800,-3310.474798,-3339.761738,29.2869406,245.4755023
11700,35100,-3306.99952,-3333.171034,26.17151368,219.3628059
11800,35400,-3304.973491,-3334.405779,29.43228815,246.6937675
11900,35700,-3303.862055,-3336.262968,32.40091392,271.576015
12000,36000,-3301.184363,-3329.384838,28.20047534,236.3690337
12100,36300,-3298.871704,-3329.101134,30.22942953,253.3751989
12200,36600,-3297.060242,-3331.584042,34.52379986,289.3694916
12300,36900,-3295.914098,-3336.236239,40.32214077,337.9696738
12400,37200,-3293.657411,-3335.669065,42.01165333,352.1307276
12500,37500,-3290.930086,-3323.100666,32.17058007,269.6454167
12600,37800,-3290.488053,-3330.569469,40.08141657,335.9519862
12700,38100,-3289.427305,-3328.881768,39.45446225,330.6970185
12800,38400,-3286.961578,-3322.37093,35.40935114,296.7919516
12900,38700,-3284.978634,-3320.720308,35.74167393,299.5773946
13000,39000,-3284.714188,-3328.258167,43.54397844,364.9742773
13100,39300,-3283.200725,-3328.340659,45.1399345,378.351165
13200,39600,-3280.832858,-3317.141394,36.30853612,304.3286857
13300,39900,-3279.229863,-3320.55565,41.32578713,346.3819759
13400,40200,-3279.331316,-3330.381886,51.0505697,427.8925686
13500,40500,-3278.232111,-3327.058449,48.82633854,409.2496428
13600,40800,-3276.052009,-3317.315151,41.26314268,345.8569065
13700,41100,-3274.312998,-3313.096867,38.78386926,325.0762829
13800,41400,-3274.68068,-3321.792877,47.11219676,394.8821531
13900,41700,-3273.709404,-3322.464769,48.75536545,408.6547648
14000,42000,-3271.513746,-3312.258711,40.74496527,341.5136785
14100,42300,-3270.173763,-3316.590373,46.41661013,389.0519274
14200,42600,-3271.012844,-3314.781585,43.76874092,366.8581778
14300,42900,-3269.661894,-3323.816401,54.15450662,453.9089588
14400,43200,-3267.492122,-3304.098959,36.60683671,306.8289635
14500,43500,-3266.859746,-3318.890057,52.03031089,436.1045039
14600,43800,-3267.363923,-3322.237504,54.87358147,459.9360568
14700,44100,-3266.268278,-3324.99178,58.72350174,492.205085
14800,44400,-3263.900631,-3305.592999,41.69236736,349.4545559
14900,44700,-3263.332785,-3318.947541,55.61475632,466.1483912
15000,45000,-3264.33032,-3314.162777,49.83245762,417.6826707
15100,45300,-3263.488061,-3313.289086,49.80102462,417.4192074
15200,45600,-3262.414043,-3303.604847,41.19080349,345.2505782
15300,45900,-3263.014246,-3312.307245,49.29299935,413.161072
15400,46200,-3264.205534,-3327.384103,63.17856958,529.5463024
15500,46500,-3263.062929,-3313.863179,50.80025057,425.7944589
15600,46800,-3262.661359,-3304.883975,42.22261555,353.898958
15700,47100,-3263.49828,-3320.346024,56.84774375,476.4829704
15800,47400,-3263.148713,-3309.455683,46.30696952,388.1329483
15900,47700,-3263.512386,-3307.077513,43.5651274,365.1515424
16000,48000,-3262.470643,-3309.533493,47.06284932,394.4685358
16100,48300,-3263.308442,-3319.713508,56.40506561,472.7725576
16200,48600,-3263.996357,-3310.49757,46.50121335,389.7610495
16300,48900,-3262.978032,-3312.822739,49.84470651,417.7853376
16400,49200,-3262.540777,-3309.963303,47.42252687,397.4832593
16500,49500,-3263.490652,-3316.332454,52.84180179,442.9062091
16600,49800,-3263.737363,-3315.065679,51.3283153,430.2205598
16700,50100,-3262.984678,-3313.391971,50.40729245,422.5007863
16800,50400,-3262.785156,-3309.171975,46.38681919,388.8022275
16900,50700,-3263.529615,-3315.449694,51.92007869,435.1805663
17000,51000,-3263.743997,-3316.366597,52.62259937,441.0689115
17100,51300,-3262.885216,-3310.373309,47.48809299,398.0328174
17200,51600,-3262.929788,-3310.897636,47.96784809,402.0539996
17300,51900,-3263.690139,-3314.755208,51.06506895,428.0140975
