#PARAMS:size=2057,delta_q=4,eq_steps=8000
Step,Cycle,Time,Average Temperature,Kinetic,Potential
8000,0,0,480.025,127.633,-7419.23
8100,1,15,482.454,128.279,-7418.76
8200,2,30,483.628,128.591,-7417.99
8300,3,45,483.548,128.57,-7416.87
8400,4,60,486.151,129.262,-7416.47
8500,5,75,486.86,129.45,-7415.55
8600,6,90,490.322,130.371,-7415.38
8700,7,105,492.385,130.919,-7414.91
8800,8,120,494.114,131.379,-7414.23
8900,9,135,492.766,131.02,-7412.74
9000,10,150,499.123,132.711,-7413.34
9100,11,165,497.979,132.407,-7411.96
9200,12,180,500.455,133.065,-7411.54
9300,13,195,502.286,133.552,-7410.93
9400,14,210,507.376,134.905,-7411.21
9500,15,225,506.993,134.803,-7410.02
9600,16,240,509.339,135.427,-7409.59
9700,17,255,509.322,135.423,-7408.42
9800,18,270,512.394,136.239,-7408.21
9900,19,285,511.546,136.014,-7406.93
10000,20,300,515.005,136.934,-7406.78
10100,21,315,516.86,137.427,-7406.18
10200,22,330,517.918,137.708,-7405.33
10300,23,345,517.744,137.662,-7404.22
10400,24,360,518.94,137.98,-7403.41
10500,25,375,522.701,138.98,-7403.36
10600,26,390,523.776,139.266,-7402.6
10700,27,405,527.025,140.13,-7402.32
10800,28,420,530.236,140.983,-7402.01
10900,29,435,531.524,141.326,-7401.31
11000,30,450,531.826,141.406,-7400.29
11100,31,465,534.955,142.238,-7400.06
11200,32,480,537.512,142.918,-7399.69
11300,33,495,537.118,142.813,-7398.46
11400,34,510,539.904,143.554,-7398.02
11500,35,525,541.217,143.903,-7397.26
11600,36,540,542.455,144.232,-7396.56
11700,37,555,544.768,144.847,-7396.1
11800,38,570,545.458,145.031,-7395.13
11900,39,585,547.878,145.674,-7394.76
12000,40,600,549.617,146.137,-7394.11
12100,41,615,552.9,147.009,-7393.93
12200,42,630,555.75,147.767,-7393.58
12300,43,645,555.234,147.63,-7392.32
12400,44,660,554.536,147.444,-7390.99
12500,45,675,557.859,148.328,-7390.81
12600,46,690,559.449,148.751,-7390.18
12700,47,705,558.383,148.467,-7388.73
12800,48,720,560.217,148.955,-7388.18
12900,49,735,565.588,150.383,-7388.61
13000,50,750,570.029,151.564,-7388.74
13100,51,765,566.949,150.745,-7386.78
13200,52,780,570.907,151.797,-7386.76
13300,53,795,572.957,152.342,-7386.25
13400,54,810,574.017,152.624,-7385.39
13500,55,825,576.438,153.268,-7384.95
13600,56,840,578.572,153.835,-7384.44
13700,57,855,579.6,154.109,-7383.69
13800,58,870,581.067,154.499,-7382.98
13900,59,885,583.842,155.236,-7382.63
14000,60,900,586.444,155.928,-7382.34
14100,61,915,584.466,155.402,-7380.73
14200,62,930,586.102,155.837,-7380.04
14300,63,945,588.59,156.499,-7379.59
14400,64,960,590.178,156.921,-7378.93
14500,65,975,590.883,157.109,-7377.97
14600,66,990,591.47,157.265,-7377.08
14700,67,1005,594.197,157.99,-7376.66
14800,68,1020,596.046,158.481,-7376.07
14900,69,1035,596.675,158.649,-7375.11
15000,70,1050,604.217,160.654,-7376.15
15100,71,1065,603.337,160.42,-7374.81
15200,72,1080,607.548,161.54,-7374.93
15300,73,1095,607.022,161.4,-7373.77
15400,74,1110,606.543,161.273,-7372.5
15500,75,1125,612.332,162.812,-7372.98
15600,76,1140,610.04,162.202,-7371.25
15700,77,1155,610.721,162.383,-7370.3
15800,78,1170,616.476,163.913,-7370.77
15900,79,1185,612.902,162.963,-7368.72
16000,80,1200,611.691,162.641,-7367.31
16100,81,1215,618.666,164.496,-7368.05
16200,82,1230,621.9,165.356,-7367.97
16300,83,1245,625.336,166.269,-7367.85
16400,84,1260,626.28,166.52,-7366.99
16500,85,1275,623.896,165.886,-7365.25
16600,86,1290,626.848,166.671,-7364.89
16700,87,1305,624.744,166.112,-7363.22
16800,88,1320,626.857,166.674,-7362.66
16900,89,1335,629.597,167.402,-7362.21
17000,90,1350,631.615,167.939,-7361.7
17100,91,1365,637.498,169.503,-7362.27
17200,92,1380,636.362,169.201,-7360.86
17300,93,1395,641.138,170.471,-7361.08
17400,94,1410,635.261,168.908,-7358.34
17500,95,1425,640.431,170.283,-7358.63
17600,96,1440,636.903,169.345,-7356.49
17700,97,1455,637.228,169.431,-7355.51
17800,98,1470,640.078,170.189,-7355.13
17900,99,1485,640.293,170.246,-7354.03
18000,100,1500,648.168,172.34,-7355.16
18100,101,1515,654.562,174.04,-7355.82
18200,102,1530,653.513,173.761,-7354.37
18300,103,1545,657.332,174.777,-7354.28
18400,104,1560,658.489,175.084,-7353.52
18500,105,1575,650.291,172.904,-7350.21
18600,106,1590,657.616,174.852,-7351.17
18700,107,1605,658.544,175.099,-7350.28
18800,108,1620,659.819,175.438,-7349.55
18900,109,1635,664.707,176.738,-7349.82
19000,110,1650,674.636,179.377,-7351.41
19100,111,1665,673.469,179.067,-7350.08
19200,112,1680,671.803,178.624,-7348.52
19300,113,1695,667.523,177.486,-7346.36
19400,114,1710,673.367,179.04,-7346.8
19500,115,1725,677.675,180.185,-7346.87
19600,116,1740,675.21,179.53,-7345
19700,117,1755,679.312,180.621,-7345.07
19800,118,1770,677.447,180.125,-7343.51
19900,119,1785,677.564,180.156,-7342.39
20000,120,1800,675.327,179.561,-7340.68
20100,121,1815,675.378,179.575,-7339.55
20200,122,1830,685.852,182.36,-7341.3
20300,123,1845,686.087,182.422,-7340.22
20400,124,1860,686.095,182.424,-7339.23
20500,125,1875,687.694,182.849,-7338.53
20600,126,1890,692.883,184.229,-7338.75
20700,127,1905,689.548,183.342,-7336.8
20800,128,1920,694.239,184.59,-7337.03
20900,129,1935,695.06,184.808,-7336.17
21000,130,1950,693.203,184.314,-7334.59
21100,131,1965,690.33,183.55,-7332.62
21200,132,1980,698.587,185.746,-7333.73
21300,133,1995,700.017,186.126,-7333.1
21400,134,2010,701.959,186.642,-7332.56
21500,135,2025,698.47,185.715,-7330.5
21600,136,2040,696.52,185.196,-7328.81
21700,137,2055,702.984,186.915,-7329.47
21800,138,2070,701.679,186.568,-7328.06
21900,139,2085,709.771,188.719,-7329.15
22000,140,2100,711.611,189.209,-7328.62
22100,141,2115,706.189,187.767,-7326
22200,142,2130,708.854,188.476,-7325.68
22300,143,2145,712.77,189.517,-7325.58
22400,144,2160,711.991,189.31,-7324.29
22500,145,2175,710.657,188.955,-7322.83
22600,146,2190,718.619,191.072,-7323.82
22700,147,2205,716.859,190.604,-7322.28
22800,148,2220,718.605,191.068,-7321.73
22900,149,2235,724.973,192.761,-7322.34
23000,150,2250,717.938,190.891,-7319.36
23100,151,2265,722.698,192.157,-7319.57
23200,152,2280,725.124,192.802,-7319.12
23300,153,2295,720.957,191.694,-7316.88
23400,154,2310,727.439,193.417,-7317.63
23500,155,2325,732.308,194.712,-7317.81
23600,156,2340,729.428,193.946,-7316
23700,157,2355,734.218,195.22,-7316.08
23800,158,2370,733.863,195.125,-7314.9
23900,159,2385,738.196,196.277,-7314.93
24000,160,2400,733.918,195.14,-7312.7
24100,161,2415,745.243,198.151,-7314.77
24200,162,2430,738.993,196.489,-7312.03
24300,163,2445,748.55,199.03,-7313.53
24400,164,2460,745.848,198.312,-7311.68
24500,165,2475,745.052,198.1,-7310.33
24600,166,2490,749.158,199.192,-7310.31
24700,167,2505,746.757,198.554,-7308.62
24800,168,2520,747.801,198.831,-7307.79
24900,169,2535,749.863,199.379,-7307.25
25000,170,2550,759.999,202.075,-7308.91
25100,171,2565,753.206,200.268,-7306.06
25200,172,2580,761.341,202.431,-7307.08
25300,173,2595,755.223,200.804,-7304.41
25400,174,2610,753.16,200.256,-7302.74
25500,175,2625,762.625,202.773,-7304.13
25600,176,2640,754.685,200.661,-7301
25700,177,2655,754.479,200.607,-7299.92
25800,178,2670,760.724,202.267,-7300.44
25900,179,2685,756.477,201.138,-7298.3
26000,180,2700,765.864,203.634,-7299.69
26100,181,2715,754.596,200.638,-7295.51
26200,182,2730,754.079,200.5,-7294.26
26300,183,2745,768.716,204.392,-7297.16
26400,184,2760,773.258,205.6,-7297.34
26500,185,2775,776.926,206.575,-7297.17
26600,186,2790,764.084,203.161,-7292.59
26700,187,2805,768.05,204.215,-7292.54
26800,188,2820,771.993,205.263,-7292.55
26900,189,2835,770.239,204.797,-7290.95
27000,190,2850,760.515,202.212,-7287.27
27100,191,2865,779.472,207.252,-7291.3
27200,192,2880,767.957,204.19,-7287.16
27300,193,2895,771.637,205.169,-7287.06
27400,194,2910,766.592,203.828,-7284.59
27500,195,2925,768.374,204.301,-7283.94
27600,196,2940,767.621,204.101,-7282.66
27700,197,2955,764.648,203.311,-7280.78
27800,198,2970,770.125,204.767,-7281.1
27900,199,2985,764.444,203.256,-7278.51
28000,200,3000,771.15,205.039,-7279.3
28100,201,3015,770.331,204.822,-7277.94
28200,202,3030,781.986,207.92,-7280.14
28300,203,3045,784.58,208.61,-7279.8
28400,204,3060,786.173,209.034,-7279.15
28500,205,3075,774.02,205.803,-7274.86
28600,206,3090,782.503,208.058,-7276.08
28700,207,3105,786.028,208.995,-7275.89
28800,208,3120,786.965,209.245,-7275.07
28900,209,3135,773.577,205.685,-7270.41
29000,210,3150,788.284,209.595,-7273.33
29100,211,3165,785.55,208.868,-7271.48
29200,212,3180,793.051,210.863,-7272.41
29300,213,3195,796.428,211.76,-7272.2
29400,214,3210,791.839,210.54,-7269.94
29500,215,3225,793.819,211.067,-7269.44
29600,216,3240,785.849,208.948,-7266.1
29700,217,3255,789.392,209.89,-7265.97
29800,218,3270,786.569,209.139,-7264.09
29900,219,3285,791.391,210.421,-7264.37
30000,220,3300,799.912,212.687,-7265.59
30100,221,3315,783.596,208.349,-7260.08
30200,222,3330,788.974,209.778,-7260.56
30300,223,3345,792.635,210.752,-7260.56
30400,224,3360,801.153,213.017,-7261.63
30500,225,3375,804.475,213.9,-7261.35
30600,226,3390,802.451,213.362,-7259.7
30700,227,3405,807.884,214.807,-7260.16
30800,228,3420,800.945,212.962,-7257.22
30900,229,3435,784.707,208.644,-7251.66
31000,230,3450,800.807,212.925,-7254.93
31100,231,3465,787.651,209.427,-7250.25
31200,232,3480,787.104,209.281,-7249.04
31300,233,3495,781.871,207.89,-7246.64
31400,234,3510,788.671,209.698,-7247.35
31500,235,3525,782.036,207.934,-7244.57
31600,236,3540,791.211,210.373,-7245.94
31700,237,3555,782.196,207.976,-7242.4
31800,238,3570,766.243,203.735,-7237.01
31900,239,3585,787.938,209.503,-7241.8
32000,240,3600,786.667,209.165,-7240.5
32100,241,3615,791.229,210.378,-7240.68
32200,242,3630,789.917,210.029,-7239.19
32300,243,3645,790.71,210.24,-7238.33
32400,244,3660,791.919,210.562,-7237.5
32500,245,3675,792.088,210.607,-7236.5
32600,246,3690,792.184,210.632,-7235.41
32700,247,3705,795.793,211.592,-7235.3
32800,248,3720,803.577,213.661,-7236.35
32900,249,3735,794.553,211.262,-7232.8
33000,250,3750,805.424,214.152,-7234.63
33100,251,3765,809.332,215.191,-7234.6
33200,252,3780,804.292,213.851,-7232.19
33300,253,3795,804.709,213.962,-7231.25
33400,254,3810,796.117,211.678,-7227.76
33500,255,3825,794.877,211.348,-7226.38
33600,256,3840,797.9,212.152,-7226.05
33700,257,3855,796.244,211.712,-7224.57
33800,258,3870,787.372,209.353,-7221.09
33900,259,3885,788.373,209.619,-7220.26
34000,260,3900,796.52,211.785,-7221.33
34100,261,3915,784.887,208.692,-7217.17
34200,262,3930,784.175,208.503,-7215.85
34300,263,3945,782.217,207.982,-7214.18
34400,264,3960,786.814,209.204,-7214.48
34500,265,3975,791.065,210.335,-7214.53
34600,266,3990,776.573,206.481,-7209.52
34700,267,4005,772.23,205.326,-7207.21
34800,268,4020,773.192,205.582,-7206.32
34900,269,4035,781.115,207.689,-7207.33
35000,270,4050,784.362,208.552,-7207.12
35100,271,4065,781.644,207.83,-7205.24
35200,272,4080,785.391,208.826,-7205.05
35300,273,4095,798.037,212.188,-7207.38
35400,274,4110,800.31,212.793,-7206.96
35500,275,4125,794.921,211.36,-7204.36
35600,276,4140,801.7,213.162,-7205.15
35700,277,4155,806.364,214.402,-7205.24
35800,278,4170,802.433,213.357,-7203.17
35900,279,4185,809.757,215.305,-7204.18
36000,280,4200,811.292,215.713,-7203.41
36100,281,4215,808.023,214.843,-7201.39
36200,282,4230,804.01,213.776,-7199.17
36300,283,4245,796.89,211.883,-7196.07
36400,284,4260,821.117,218.325,-7201.62
36500,285,4275,810.988,215.632,-7197.82
36600,286,4290,810.055,215.384,-7196.5
36700,287,4305,810.957,215.624,-7195.67
36800,288,4320,798.191,212.229,-7191.19
36900,289,4335,791.931,210.565,-7188.39
37000,290,4350,802.083,213.264,-7190.06
37100,291,4365,788.943,209.77,-7185.43
37200,292,4380,780.95,207.645,-7182.27
37300,293,4395,797.582,212.067,-7185.7
37400,294,4410,793.775,211.055,-7183.6
37500,295,4425,789.68,209.966,-7181.52
37600,296,4440,781.326,207.745,-7178.09
37700,297,4455,777.642,206.766,-7176.01
37800,298,4470,776.729,206.523,-7174.66
37900,299,4485,785.784,208.93,-7176.11
38000,300,4500,787.006,209.255,-7175.32
38100,301,4515,782.08,207.946,-7172.94
38200,302,4530,785.392,208.826,-7172.67
38300,303,4545,773.492,205.662,-7168.37
38400,304,4560,785.738,208.918,-7170.63
38500,305,4575,788.712,209.709,-7170.42
38600,306,4590,781.131,207.693,-7167.32
38700,307,4605,783.658,208.365,-7166.98
38800,308,4620,778.27,206.933,-7164.36
38900,309,4635,783.7,208.376,-7164.75
39000,310,4650,790.954,210.305,-7165.52
39100,311,4665,791.923,210.563,-7164.76
39200,312,4680,803.021,213.513,-7166.73
39300,313,4695,809.618,215.268,-7167.52
39400,314,4710,804.642,213.945,-7165.01
