#PARAMS:size=561,delta_q=4,eq_steps=8000
Step,Cycle,Time,Average Temperature,Kinetic,Potential
8000,0,0,482.974,35.0228,-1996.24
8100,1,15,482.773,35.0082,-1995.94
8200,2,30,487.326,35.3384,-1995.97
8300,3,45,489.941,35.528,-1995.87
8400,4,60,481.453,34.9125,-1994.89
8500,5,75,491.988,35.6765,-1995.42
8600,6,90,484.562,35.1379,-1994.54
8700,7,105,490.795,35.59,-1994.68
8800,8,120,492.669,35.7258,-1994.52
8900,9,135,497.199,36.0543,-1994.57
9000,10,150,494.686,35.8721,-1994.02
9100,11,165,504.395,36.5761,-1994.46
9200,12,180,496.66,36.0152,-1993.58
9300,13,195,503.08,36.4808,-1993.75
9400,14,210,504.341,36.5722,-1993.56
9500,15,225,502.449,36.435,-1993.11
9600,16,240,506.61,36.7368,-1993.09
9700,17,255,508.953,36.9066,-1993.01
9800,18,270,514.91,37.3386,-1993.14
9900,19,285,509.354,36.9357,-1992.41
10000,20,300,521.113,37.7885,-1992.98
10100,21,315,508.917,36.904,-1991.73
10200,22,330,517.55,37.53,-1992.11
10300,23,345,516.255,37.4362,-1991.72
10400,24,360,527.895,38.2803,-1992.29
10500,25,375,525.573,38.1118,-1991.83
10600,26,390,523.545,37.9648,-1991.38
10700,27,405,525.418,38.1006,-1991.2
10800,28,420,526.678,38.192,-1990.96
10900,29,435,530.235,38.4499,-1990.95
11000,30,450,531.888,38.5698,-1990.76
11100,31,465,536.396,38.8967,-1990.82
11200,32,480,546.367,39.6197,-1991.18
11300,33,495,541.563,39.2714,-1990.6
11400,34,510,541.394,39.2591,-1990.28
11500,35,525,544.531,39.4866,-1990.21
11600,36,540,545.27,39.5402,-1989.96
11700,37,555,542.808,39.3616,-1989.49
11800,38,570,548.652,39.7854,-1989.6
11900,39,585,554.499,40.2094,-1989.73
12000,40,600,546.985,39.6646,-1988.88
12100,41,615,541.749,39.2848,-1988.22
12200,42,630,547.223,39.6818,-1988.31
12300,43,645,551.891,40.0203,-1988.34
12400,44,660,550.962,39.9529,-1987.97
12500,45,675,556.676,40.3673,-1988.1
12600,46,690,560.986,40.6798,-1988.1
12700,47,705,556.911,40.3843,-1987.51
12800,48,720,559.932,40.6034,-1987.45
12900,49,735,562.22,40.7693,-1987.34
13000,50,750,573.069,41.556,-1987.85
13100,51,765,571.991,41.4778,-1987.46
13200,52,780,565.96,41.0405,-1986.67
13300,53,795,571.077,41.4116,-1986.76
13400,54,810,568.158,41.1999,-1986.24
13500,55,825,581.502,42.1675,-1986.93
13600,56,840,579.251,42.0043,-1986.48
13700,57,855,576.67,41.8172,-1986
13800,58,870,575.442,41.7281,-1985.64
13900,59,885,584.387,42.3768,-1986.02
14000,60,900,581.802,42.1893,-1985.49
14100,61,915,588.12,42.6474,-1985.65
14200,62,930,593.433,43.0327,-1985.76
14300,63,945,593.471,43.0355,-1985.43
14400,64,960,594.918,43.1404,-1985.23
14500,65,975,597.758,43.3463,-1985.16
14600,66,990,598.368,43.3906,-1984.91
14700,67,1005,597.006,43.2918,-1984.51
14800,68,1020,600.236,43.526,-1984.46
14900,69,1035,597.923,43.3583,-1983.96
15000,70,1050,600.819,43.5683,-1983.87
15100,71,1065,605.557,43.9119,-1983.94
15200,72,1080,604.89,43.8635,-1983.55
15300,73,1095,604.66,43.8468,-1983.23
15400,74,1110,609.212,44.1769,-1983.26
15500,75,1125,608.937,44.157,-1982.95
15600,76,1140,614.737,44.5776,-1983.12
15700,77,1155,613.18,44.4646,-1982.67
15800,78,1170,610.185,44.2475,-1982.17
15900,79,1185,612.293,44.4003,-1982.03
16000,80,1200,627.043,45.4699,-1982.81
16100,81,1215,614.551,44.5641,-1981.63
16200,82,1230,618.308,44.8366,-1981.6
16300,83,1245,617.68,44.791,-1981.27
16400,84,1260,629.194,45.6259,-1981.83
16500,85,1275,622.428,45.1352,-1981.02
16600,86,1290,627.601,45.5104,-1981.15
16700,87,1305,629.733,45.665,-1981.01
16800,88,1320,633.982,45.9731,-1981.06
16900,89,1335,633.316,45.9248,-1980.67
17000,90,1350,625.325,45.3453,-1979.79
17100,91,1365,627.99,45.5386,-1979.68
17200,92,1380,626.188,45.4079,-1979.26
17300,93,1395,629.888,45.6762,-1979.2
17400,94,1410,630.972,45.7549,-1979
17500,95,1425,638.993,46.3365,-1979.28
17600,96,1440,633.319,45.9251,-1978.58
17700,97,1455,637.627,46.2374,-1978.62
17800,98,1470,635.511,46.084,-1978.14
17900,99,1485,647.754,46.9718,-1978.8
18000,100,1500,642.364,46.5809,-1978.07
18100,101,1515,641.428,46.513,-1977.75
18200,102,1530,635.834,46.1074,-1977.02
18300,103,1545,653.344,47.3771,-1978.01
18400,104,1560,645.772,46.828,-1977.17
18500,105,1575,653.65,47.3993,-1977.43
18600,106,1590,656.332,47.5938,-1977.33
18700,107,1605,648.211,47.0049,-1976.48
18800,108,1620,664.409,48.1796,-1977.36
18900,109,1635,651.078,47.2129,-1976.12
19000,110,1650,669.88,48.5763,-1977.17
19100,111,1665,663.935,48.1452,-1976.45
19200,112,1680,659.152,47.7983,-1975.81
19300,113,1695,655.017,47.4985,-1975.21
19400,114,1710,670.262,48.6039,-1976.07
19500,115,1725,662.544,48.0443,-1975.2
19600,116,1740,658.968,47.7849,-1974.65
19700,117,1755,665.184,48.2357,-1974.8
19800,118,1770,667.096,48.3743,-1974.65
19900,119,1785,674.296,48.8965,-1974.87
20000,120,1800,663.742,48.1311,-1973.8
20100,121,1815,672.757,48.7849,-1974.15
20200,122,1830,675.129,48.9569,-1974.07
20300,123,1845,661.145,47.9429,-1972.72
20400,124,1860,669.445,48.5447,-1973.04
