#PARAMS:size=2869,delta_q=4,eq_steps=8000
Step,Cycle,Time,Average Temperature,Kinetic,Potential
8000,0,0,477.664,177.14,-10374.2
8100,1,15,482.042,178.764,-10374.4
8200,2,30,483.971,179.479,-10373.6
8300,3,45,485.786,180.152,-10372.7
8400,4,60,486.915,180.571,-10371.7
8500,5,75,489.573,181.557,-10371.1
8600,6,90,487.897,180.935,-10368.9
8700,7,105,490.238,181.803,-10368.3
8800,8,120,493.936,183.175,-10368.1
8900,9,135,494.53,183.395,-10366.9
9000,10,150,498.286,184.788,-10366.8
9100,11,165,498.112,184.723,-10365.2
9200,12,180,498.747,184.959,-10363.8
9300,13,195,501.924,186.137,-10363.5
9400,14,210,504.528,187.103,-10363
9500,15,225,505.474,187.453,-10361.9
9600,16,240,511.268,189.602,-10362.6
9700,17,255,513.302,190.357,-10361.9
9800,18,270,510.517,189.324,-10359.2
9900,19,285,510.505,189.319,-10357.6
10000,20,300,514.68,190.868,-10357.6
10100,21,315,518.168,192.161,-10357.4
10200,22,330,521.083,193.242,-10357.1
10300,23,345,522.203,193.658,-10356.1
10400,24,360,523.396,194.1,-10355
10500,25,375,523.721,194.22,-10353.6
10600,26,390,524.409,194.476,-10352.3
10700,27,405,527.676,195.687,-10352
10800,28,420,525.412,194.847,-10349.6
10900,29,435,529.955,196.532,-10349.7
11000,30,450,533.076,197.69,-10349.4
11100,31,465,538.083,199.546,-10349.9
11200,32,480,534.469,198.206,-10346.8
11300,33,495,533.859,197.98,-10345.1
11400,34,510,538.955,199.87,-10345.5
11500,35,525,541.894,200.96,-10345.1
11600,36,540,542.706,201.261,-10343.9
11700,37,555,544.379,201.881,-10343
11800,38,570,546.541,202.683,-10342.3
11900,39,585,548.589,203.443,-10341.5
12000,40,600,550.606,204.19,-10340.9
12100,41,615,555.11,205.861,-10341.1
12200,42,630,555.859,206.139,-10339.9
12300,43,645,554.734,205.721,-10338
12400,44,660,557.597,206.783,-10337.5
12500,45,675,557.081,206.592,-10335.7
12600,46,690,561.081,208.075,-10335.7
12700,47,705,563.195,208.859,-10334.9
12800,48,720,565.468,209.702,-10334.3
12900,49,735,566.294,210.009,-10333.1
13000,50,750,567.717,210.536,-10332
13100,51,765,570.836,211.693,-10331.7
13200,52,780,571.273,211.855,-10330.4
13300,53,795,572.245,212.215,-10329.2
13400,54,810,575.07,213.263,-10328.7
13500,55,825,576.106,213.647,-10327.5
13600,56,840,579.947,215.072,-10327.5
13700,57,855,582.087,215.865,-10326.8
13800,58,870,580.981,215.455,-10324.9
13900,59,885,580.43,215.251,-10323.2
14000,60,900,582.046,215.85,-10322.1
14100,61,915,585.509,217.134,-10322
14200,62,930,587.36,217.821,-10321.2
14300,63,945,591.125,219.217,-10321.2
14400,64,960,594.121,220.328,-10320.8
14500,65,975,594.665,220.53,-10319.4
14600,66,990,592.309,219.656,-10317
14700,67,1005,594.221,220.365,-10316.3
14800,68,1020,598.571,221.978,-10316.4
14900,69,1035,598.759,222.048,-10315
15000,70,1050,598.841,222.078,-10313.5
15100,71,1065,604.106,224.031,-10313.9
15200,72,1080,606.429,224.892,-10313.2
15300,73,1095,607.814,225.406,-10312.3
15400,74,1110,610.719,226.483,-10311.9
15500,75,1125,608.881,225.802,-10309.6
