#PARAMS:size=147,delta_q=4,eq_steps=8000
Step,Cycle,Time,Average Temperature,Kinetic,Potential
8000,0,0,499.525,9.49159,-511.295
8100,1,15,496.233,9.42902,-511.158
8200,2,30,493.747,9.3818,-511.041
8300,3,45,491.705,9.343,-510.92
8400,4,60,483.044,9.17843,-510.684
8500,5,75,476.099,9.04646,-510.462
8600,6,90,502.348,9.54522,-510.896
8700,7,105,492.29,9.3541,-510.634
8800,8,120,503.966,9.57596,-510.767
8900,9,135,503.746,9.57179,-510.672
9000,10,150,514.084,9.76822,-510.809
9100,11,165,504.478,9.5857,-510.52
9200,12,180,502.791,9.55363,-510.419
9300,13,195,505.729,9.60947,-510.415
9400,14,210,515.545,9.79599,-510.517
9500,15,225,502.139,9.54125,-510.192
9600,16,240,503.372,9.56468,-510.129
9700,17,255,509.033,9.67224,-510.161
9800,18,270,500.996,9.51954,-509.923
9900,19,285,509.382,9.67888,-510.015
10000,20,300,511.909,9.72689,-509.996
10100,21,315,509.854,9.68785,-509.886
10200,22,330,532.224,10.1129,-510.222
10300,23,345,517.42,9.83161,-509.856
10400,24,360,534.342,10.1531,-510.102
10500,25,375,503.661,9.57017,-509.431
10600,26,390,508.734,9.66656,-509.452
10700,27,405,526.78,10.0095,-509.74
10800,28,420,502.456,9.54727,-509.178
10900,29,435,521.919,9.91709,-509.486
11000,30,450,525.806,9.99096,-509.482
11100,31,465,520.652,9.89303,-509.299
11200,32,480,533.544,10.138,-509.475
11300,33,495,521.559,9.91026,-509.157
11400,34,510,535.049,10.1666,-509.335
11500,35,525,527.709,10.0271,-509.101
11600,36,540,537.419,10.2116,-509.212
11700,37,555,547.649,10.406,-509.348
11800,38,570,538.242,10.2273,-509.082
11900,39,585,543.17,10.3209,-509.09
12000,40,600,536.852,10.2008,-508.901
12100,41,615,551.576,10.4806,-509.096
12200,42,630,540.754,10.275,-508.809
12300,43,645,554.017,10.527,-509.007
12400,44,660,538.22,10.2268,-508.592
12500,45,675,529.348,10.0583,-508.359
12600,46,690,531.451,10.0982,-508.31
12700,47,705,533.363,10.1345,-508.276
12800,48,720,545.961,10.3739,-508.436
12900,49,735,543.01,10.3179,-508.318
13000,50,750,542.155,10.3016,-508.212
13100,51,765,548.432,10.4209,-508.256
13200,52,780,558.099,10.6046,-508.385
13300,53,795,555.972,10.5641,-508.272
13400,54,810,562.871,10.6952,-508.352
13500,55,825,566.164,10.7578,-508.329
13600,56,840,547.401,10.4013,-507.89
13700,57,855,552.537,10.4989,-507.926
13800,58,870,562.735,10.6926,-508.046
13900,59,885,584.612,11.1083,-508.382
14000,60,900,559.39,10.6291,-507.814
14100,61,915,559.297,10.6273,-507.733
14200,62,930,542.448,10.3072,-507.337
14300,63,945,570.566,10.8414,-507.797
14400,64,960,560.027,10.6412,-507.506
14500,65,975,588.751,11.187,-507.986
14600,66,990,586.441,11.1431,-507.852
14700,67,1005,569.575,10.8226,-507.442
14800,68,1020,573.224,10.892,-507.439
14900,69,1035,580.934,11.0385,-507.53
15000,70,1050,571.312,10.8556,-507.246
15100,71,1065,575.755,10.94,-507.261
15200,72,1080,595.99,11.3245,-507.563
15300,73,1095,574.643,10.9189,-507.075
