#PARAMS:size=8217,delta_q=4,eq_steps=8000
Step,Cycle,Time,Average Temperature,Kinetic,Potential
8000,0,0,477.357,507.015,-29903.7
8100,1,15,480.797,510.668,-29903
8200,2,30,481.663,511.589,-29899.6
8300,3,45,484.152,514.232,-29897.7
8400,4,60,486.554,516.784,-29896.2
8500,5,75,487.166,517.433,-29892.4
8600,6,90,489.423,519.83,-29890.5
8700,7,105,491.046,521.554,-29887.8
8800,8,120,492.799,523.416,-29885.2
8900,9,135,495.883,526.692,-29884.5
9000,10,150,495.523,526.31,-29879.5
9100,11,165,497.996,528.936,-29877.9
9200,12,180,500.884,532.004,-29876.7
9300,13,195,502.909,534.154,-29874.4
9400,14,210,504.755,536.116,-29872.1
9500,15,225,505.253,536.644,-29868.2
9600,16,240,508.563,540.16,-29867.6
9700,17,255,508.786,540.397,-29863.4
9800,18,270,510.753,542.486,-29861.4
9900,19,285,514.44,546.402,-29861.1
10000,20,300,513.574,545.482,-29855.7
10100,21,315,517.702,549.866,-29856
10200,22,330,519.074,551.324,-29853
10300,23,345,520.037,552.346,-29849.7
10400,24,360,522.38,554.835,-29847.9
10500,25,375,523.118,555.619,-29844.1
10600,26,390,527.058,559.804,-29844.1
10700,27,405,527.576,560.354,-29840.5
10800,28,420,527.424,560.192,-29835.8
10900,29,435,531.084,564.079,-29835.6
11000,30,450,532.203,565.268,-29832.4
11100,31,465,534.88,568.112,-29830.7
11200,32,480,536.447,569.776,-29828.4
11300,33,495,537.205,570.582,-29824.6
11400,34,510,538.648,572.114,-29821.7
11500,35,525,542.638,576.352,-29821.9
11600,36,540,541.271,574.9,-29815.7
11700,37,555,546.44,580.39,-29817.3
11800,38,570,545.25,579.126,-29811.2
11900,39,585,549.173,583.292,-29811.4
12000,40,600,550.536,584.74,-29808.4
12100,41,615,550.845,585.069,-29804.2
12200,42,630,555.033,589.517,-29804.7
12300,43,645,553.863,588.275,-29798.8
12400,44,660,558.6,593.306,-29800
12500,45,675,559.601,594.368,-29796.5
12600,46,690,561.347,596.223,-29794.1
12700,47,705,562.003,596.92,-29790.6
12800,48,720,562.984,597.962,-29786.9
12900,49,735,567.371,602.621,-29787.7
13000,50,750,567.626,602.892,-29783.4
13100,51,765,569.517,604.901,-29781.2
13200,52,780,572.157,607.704,-29779.4
13300,53,795,572.632,608.209,-29775.7
13400,54,810,575.677,611.443,-29774.8
13500,55,825,575.999,611.786,-29770.7
13600,56,840,579.134,615.115,-29769.6
13700,57,855,580.929,617.022,-29767.3
13800,58,870,581.685,617.825,-29763.7
13900,59,885,584.521,620.837,-29762.5
14000,60,900,584.537,620.854,-29758
14100,61,915,586.143,622.56,-29755.4
14200,62,930,590.693,627.393,-29756
14300,63,945,590.613,627.308,-29751.5
14400,64,960,592.677,629.5,-29749.4
14500,65,975,594.377,631.306,-29747
14600,66,990,594.209,631.127,-29742.1
14700,67,1005,599.251,636.482,-29743.3
14800,68,1020,598.098,635.257,-29737.8
14900,69,1035,599.531,636.779,-29734.9
15000,70,1050,604.529,642.088,-29736
15100,71,1065,604.73,642.301,-29731.8
15200,72,1080,605.69,643.321,-29728.6
15300,73,1095,607.387,645.123,-29726.1
15400,74,1110,610.134,648.041,-29724.8
15500,75,1125,612.449,650.5,-29722.8
15600,76,1140,611.772,649.781,-29717.7
15700,77,1155,614.681,652.871,-29716.4
15800,78,1170,616.04,654.314,-29713.6
15900,79,1185,617.856,656.243,-29711.1
16000,80,1200,621.055,659.641,-29710.4
16100,81,1215,621.228,659.825,-29706.1
16200,82,1230,621.972,660.615,-29702.6
16300,83,1245,625.822,664.704,-29702.6
16400,84,1260,626.985,665.939,-29699.4
16500,85,1275,628.28,667.315,-29696.3
16600,86,1290,632.216,671.495,-29696.5
16700,87,1305,632.161,671.436,-29691.9
16800,88,1320,631.463,670.696,-29686.8
16900,89,1335,635.603,675.093,-29686.9
17000,90,1350,638.141,677.788,-29685.3
17100,91,1365,637.172,676.76,-29679.8
17200,92,1380,639.603,679.341,-29678
17300,93,1395,644.405,684.441,-29679
17400,94,1410,642.354,682.263,-29672.2
17500,95,1425,644.645,684.696,-29670.4
17600,96,1440,648.368,688.651,-29670.2
17700,97,1455,647.49,687.718,-29664.8
17800,98,1470,649.92,690.299,-29663
17900,99,1485,654.013,694.646,-29663.4
18000,100,1500,652.425,692.96,-29657
18100,101,1515,655.408,696.128,-29655.9
18200,102,1530,656.182,696.95,-29652.4
18300,103,1545,657.902,698.777,-29650.1
18400,104,1560,659.562,700.54,-29647.5
18500,105,1575,660.497,701.534,-29644.1
18600,106,1590,660.044,701.052,-29639.2
