#PARAMS:size=6525,delta_q=4,eq_steps=8000
Step,Cycle,Time,Average Temperature,Kinetic,Potential
8000,0,0,478.471,403.553,-23718.1
8100,1,15,480.336,405.126,-23716.3
8200,2,30,480.953,405.646,-23713.3
8300,3,45,484.153,408.345,-23712.6
8400,4,60,488.462,411.979,-23713
8500,5,75,487.361,411.051,-23708.5
8600,6,90,487.354,411.045,-23704.8
8700,7,105,492.999,415.806,-23706.5
8800,8,120,494.525,417.093,-23704.5
8900,9,135,493.385,416.131,-23699.7
9000,10,150,496.08,418.405,-23698.6
9100,11,165,499.901,421.627,-23698.7
9200,12,180,500.656,422.264,-23695.6
9300,13,195,502.172,423.543,-23693.6
9400,14,210,503.67,424.806,-23691.5
9500,15,225,504.354,425.383,-23688.5
9600,16,240,509.067,429.358,-23689.2
9700,17,255,509.343,429.591,-23685.9
9800,18,270,512.911,432.601,-23685.6
9900,19,285,512.92,432.607,-23682.1
10000,20,300,513.797,433.348,-23679.2
10100,21,315,516.016,435.219,-23677.9
10200,22,330,519.168,437.878,-23677.1
10300,23,345,517.649,436.597,-23672.3
10400,24,360,522.355,440.565,-23672.8
10500,25,375,524.066,442.009,-23670.7
10600,26,390,527.396,444.817,-23670.3
10700,27,405,527.078,444.549,-23666.4
10800,28,420,527.769,445.132,-23663.6
10900,29,435,530.96,447.823,-23662.8
11000,30,450,532.289,448.944,-23660.6
11100,31,465,533.611,450.059,-23658.1
11200,32,480,537.14,453.035,-23657.8
11300,33,495,537.995,453.757,-23655.3
11400,34,510,539.205,454.777,-23652.4
11500,35,525,539.66,455.161,-23649.4
11600,36,540,543.541,458.434,-23649.5
11700,37,555,545.41,460.01,-23647.5
11800,38,570,546.161,460.644,-23644.7
11900,39,585,547,461.352,-23641.9
12000,40,600,551.429,465.087,-23642.4
12100,41,615,552.726,466.181,-23640.1
12200,42,630,554.537,467.709,-23637.9
12300,43,645,556.158,469.076,-23636
12400,44,660,557.579,470.274,-23633.9
12500,45,675,558.465,471.022,-23631
12600,46,690,562.096,474.084,-23630.7
12700,47,705,563.596,475.349,-23628.6
12800,48,720,563.386,475.172,-23624.9
12900,49,735,568.392,479.394,-23625.8
13000,50,750,566.542,477.834,-23620.7
13100,51,765,569.352,480.204,-23619.5
13200,52,780,572.078,482.503,-23618.6
13300,53,795,573.823,483.975,-23616.6
13400,54,810,574.394,484.456,-23613.4
13500,55,825,577.557,487.124,-23612.7
13600,56,840,580.311,489.447,-23611.9
13700,57,855,579.318,488.609,-23607.4
13800,58,870,580.4,489.522,-23604.8
13900,59,885,585.195,493.566,-23605.6
14000,60,900,584.503,492.982,-23601.4
14100,61,915,586.216,494.427,-23599.4
14200,62,930,589.844,497.487,-23599.2
14300,63,945,589.763,497.419,-23595.4
14400,64,960,594.369,501.303,-23596.1
14500,65,975,593.085,500.221,-23591.3
14600,66,990,595.264,502.059,-23589.8
14700,67,1005,599.272,505.439,-23590.2
14800,68,1020,596.814,503.366,-23584.2
14900,69,1035,600.689,506.634,-23584
15000,70,1050,604.11,509.519,-23583.8
15100,71,1065,604.23,509.621,-23580.2
15200,72,1080,604.707,510.023,-23577.4
15300,73,1095,609.283,513.882,-23577.9
15400,74,1110,610.242,514.691,-23575.1
15500,75,1125,609.463,514.035,-23571
15600,76,1140,614.217,518.043,-23571.6
15700,77,1155,616.168,519.69,-23570.2
15800,78,1170,616.093,519.626,-23566.4
15900,79,1185,617.28,520.627,-23563.9
16000,80,1200,622.437,524.977,-23565.2
16100,81,1215,621.903,524.526,-23561.3
16200,82,1230,621.373,524.08,-23557.1
16300,83,1245,627.518,529.262,-23559.2
16400,84,1260,627.352,529.122,-23555.4
16500,85,1275,626.174,528.128,-23550.9
16600,86,1290,628.561,530.142,-23549.6
16700,87,1305,632.282,533.28,-23549.2
16800,88,1320,633.614,534.403,-23546.7
16900,89,1335,636.592,536.916,-23545.9
17000,90,1350,639.14,539.064,-23544.7
17100,91,1365,637.153,537.388,-23539.3
17200,92,1380,640.475,540.191,-23538.9
17300,93,1395,642.501,541.899,-23537.3
17400,94,1410,642.759,542.116,-23534
17500,95,1425,644.645,543.708,-23531.8
17600,96,1440,649.249,547.59,-23532.7
17700,97,1455,647.939,546.486,-23527.9
17800,98,1470,649.283,547.619,-23525.5
17900,99,1485,652.499,550.332,-23524.9
18000,100,1500,656.843,553.996,-23525.3
18100,101,1515,652.951,550.713,-23518.4
18200,102,1530,656.724,553.895,-23518.1
18300,103,1545,658.978,555.796,-23516.9
18400,104,1560,661.931,558.287,-23515.8
18500,105,1575,658.266,555.195,-23509.1
18600,106,1590,664.439,560.402,-23511
18700,107,1605,662.385,558.67,-23505.7
18800,108,1620,668.58,563.895,-23507.6
18900,109,1635,672.088,566.854,-23507.3
19000,110,1650,666.329,561.996,-23498.6
19100,111,1665,673.463,568.013,-23501.7
19200,112,1680,673.072,567.683,-23497.7
19300,113,1695,672.597,567.283,-23493.7
19400,114,1710,677.32,571.266,-23494.5
19500,115,1725,682.699,575.803,-23495.7
19600,116,1740,674.418,568.818,-23484.7
19700,117,1755,684.596,577.403,-23490.4
19800,118,1770,682.981,576.041,-23485.3
19900,119,1785,679.587,573.178,-23478.8
20000,120,1800,692.377,583.965,-23486.9
20100,121,1815,686.332,578.867,-23477.7
20200,122,1830,687.919,580.205,-23475.7
20300,123,1845,692.248,583.857,-23476.1
20400,124,1860,692.822,584.341,-23473
20500,125,1875,691.675,583.373,-23468.5
20600,126,1890,698.879,589.449,-23471.4
20700,127,1905,698.029,588.732,-23467.3
20800,128,1920,695.624,586.704,-23461.5
20900,129,1935,703.712,593.526,-23465.4
21000,130,1950,702.36,592.386,-23460.6
21100,131,1965,699.071,589.612,-23454.1
21200,132,1980,703.845,593.638,-23454.9
21300,133,1995,704.491,594.183,-23451.9
21400,134,2010,705.591,595.11,-23449.5
21500,135,2025,708.686,597.721,-23448.7
21600,136,2040,707.87,597.033,-23444.4
21700,137,2055,712.041,600.55,-23444.6
21800,138,2070,715.263,603.268,-23444
21900,139,2085,710.198,598.996,-23436.1
22000,140,2100,716.084,603.961,-23437.7
22100,141,2115,715.48,603.451,-23433.8
22200,142,2130,716.93,604.674,-23431.6
22300,143,2145,718.773,606.229,-23429.9
22400,144,2160,720.505,607.689,-23427.5
22500,145,2175,724.075,610.701,-23427.3
22600,146,2190,723.971,610.613,-23424
22700,147,2205,724.964,611.45,-23421
22800,148,2220,727.869,613.9,-23420.5
22900,149,2235,727.291,613.413,-23416.3
23000,150,2250,729.398,615.19,-23414.6
23100,151,2265,730.431,616.061,-23412
23200,152,2280,733.233,618.425,-23411.2
23300,153,2295,733.716,618.832,-23407.9
23400,154,2310,731.942,617.336,-23402.9
23500,155,2325,739.997,624.13,-23406.4
23600,156,2340,741.993,625.812,-23404.7
23700,157,2355,739.285,623.529,-23398.9
23800,158,2370,740.923,624.911,-23396.9
23900,159,2385,745.392,628.679,-23397.5
24000,160,2400,744.847,628.22,-23393.2
24100,161,2415,750.938,633.357,-23395
24200,162,2430,745.836,629.054,-23387.1
24300,163,2445,751.085,633.481,-23388.2
24400,164,2460,752.06,634.304,-23385.5
24500,165,2475,755.558,637.254,-23385.3
24600,166,2490,754.332,636.22,-23380.7
24700,167,2505,752.661,634.81,-23375.7
24800,168,2520,755.238,636.984,-23374.5
24900,169,2535,762.387,643.014,-23377.3
25000,170,2550,756.546,638.087,-23368.8
25100,171,2565,756.082,637.695,-23364.6
25200,172,2580,763.233,643.727,-23367.7
25300,173,2595,760.982,641.829,-23362.2
25400,174,2610,760.208,641.176,-23357.7
25500,175,2625,764.236,644.573,-23358.1
25600,176,2640,761.955,642.649,-23352.5
25700,177,2655,767.006,646.91,-23353.4
25800,178,2670,765.909,645.984,-23348.9
25900,179,2685,767.761,647.547,-23347.2
26000,180,2700,766.216,646.243,-23342.5
26100,181,2715,767.332,647.184,-23339.9
26200,182,2730,776.78,655.153,-23344.7
26300,183,2745,773.072,652.025,-23338
26400,184,2760,773.457,652.35,-23335
26500,185,2775,775.376,653.968,-23333.1
26600,186,2790,773.987,652.797,-23328.6
26700,187,2805,776.28,654.731,-23327
26800,188,2820,784.195,661.407,-23330.4
26900,189,2835,775.451,654.032,-23319.3
27000,190,2850,778.815,656.87,-23318.9
27100,191,2865,786.476,663.33,-23322.2
27200,192,2880,782.11,659.649,-23314.8
27300,193,2895,780.626,658.397,-23310
27400,194,2910,788.969,665.434,-23313.8
27500,195,2925,785.551,662.55,-23307.2
27600,196,2940,787.352,664.069,-23305.5
27700,197,2955,784.399,661.579,-23299.6
27800,198,2970,787.469,664.168,-23298.5
27900,199,2985,790.36,666.606,-23297.7
28000,200,3000,790.953,667.107,-23294.7
28100,201,3015,789.91,666.227,-23290.3
28200,202,3030,795.572,671.003,-23291.8
28300,203,3045,794.485,670.085,-23287.2
28400,204,3060,801.977,676.404,-23290.3
28500,205,3075,799.143,674.014,-23284.4
28600,206,3090,801.801,676.256,-23283.2
28700,207,3105,799.595,674.396,-23278
28800,208,3120,798.24,673.253,-23273.5
28900,209,3135,795.6,671.026,-23267.6
29000,210,3150,806.24,680,-23273.7
29100,211,3165,800.794,675.407,-23265.3
29200,212,3180,799.121,673.996,-23260.3
29300,213,3195,810.418,683.524,-23266.9
29400,214,3210,803.281,677.505,-23257.1
29500,215,3225,805.447,679.331,-23255.7
29600,216,3240,804.941,678.905,-23251.7
29700,217,3255,806.241,680.001,-23249.3
29800,218,3270,812.977,685.682,-23251.5
29900,219,3285,808.333,681.766,-23244
30000,220,3300,809.936,683.118,-23242.2
30100,221,3315,807.629,681.172,-23236.7
30200,222,3330,809.444,682.702,-23234.8
30300,223,3345,808.294,681.732,-23230.3
30400,224,3360,811.55,684.479,-23229.9
30500,225,3375,807.911,681.41,-23223.1
30600,226,3390,813.691,686.285,-23224.6
30700,227,3405,813.613,686.219,-23221.2
30800,228,3420,813.487,686.112,-23217.8
30900,229,3435,809.111,682.422,-23210.6
31000,230,3450,815.251,687.6,-23212.2
31100,231,3465,814.062,686.597,-23207.8
31200,232,3480,813.755,686.338,-23204
31300,233,3495,819.593,691.263,-23205.9
31400,234,3510,808.031,681.511,-23192.1
