#PARAMS:size=12431,delta_q=4,eq_steps=8000
Step,Cycle,Time,Average Temperature,Kinetic,Potential
8000,0,0,478.429,768.754,-45331
8100,1,15,480.187,771.579,-45327.2
8200,2,30,480.642,772.311,-45321.4
8300,3,45,484.192,778.014,-45320.5
8400,4,60,484.236,778.085,-45313.9
8500,5,75,487.356,783.099,-45312.4
8600,6,90,488.466,784.882,-45307.6
8700,7,105,491.428,789.641,-45305.8
8800,8,120,492.479,791.33,-45301.1
8900,9,135,494.624,794.777,-45298
9000,10,150,495.674,796.465,-45293.1
9100,11,165,498.356,800.773,-45291.1
9200,12,180,499.952,803.338,-45287.2
9300,13,195,501.098,805.179,-45282.4
9400,14,210,503.409,808.894,-45279.5
9500,15,225,505.301,811.933,-45276.2
9600,16,240,506.355,813.628,-45271
9700,17,255,509.51,818.696,-45269.9
9800,18,270,509.828,819.207,-45263.5
9900,19,285,511.632,822.106,-45260
10000,20,300,514.917,827.385,-45258.9
10100,21,315,515.047,827.594,-45252.3
10200,22,330,518.197,832.656,-45251.1
10300,23,345,519.101,834.107,-45246
10400,24,360,520.46,836.291,-45241.6
10500,25,375,522.756,839.98,-45238.7
10600,26,390,524.351,842.543,-45234.7
10700,27,405,526.856,846.568,-45232.3
10800,28,420,528.507,849.222,-45228.4
10900,29,435,530.022,851.656,-45224.1
11000,30,450,533.747,857.641,-45224
11100,31,465,532.265,855.259,-45214.6
11200,32,480,537.386,863.489,-45217
11300,33,495,536.229,861.629,-45208.2
11400,34,510,539.039,866.144,-45206.4
11500,35,525,540.526,868.534,-45202.2
11600,36,540,542.284,871.359,-45198.5
11700,37,555,544.618,875.109,-45195.7
11800,38,570,545.086,875.861,-45189.7
11900,39,585,548.113,880.724,-45188.2
12000,40,600,549.785,883.412,-45184.4
12100,41,615,551.532,886.219,-45180.6
12200,42,630,552.895,888.409,-45176
12300,43,645,557.022,895.041,-45176.5
12400,44,660,556.55,894.282,-45168.9
12500,45,675,558.484,897.39,-45165.4
12600,46,690,560.18,900.114,-45161.7
12700,47,705,561.038,901.493,-45156.3
12800,48,720,565.211,908.198,-45156.7
12900,49,735,565.252,908.264,-45150.1
13000,50,750,567.116,911.259,-45146.5
13100,51,765,568.714,913.827,-45142.6
13200,52,780,570.981,917.47,-45139.4
13300,53,795,573.672,921.795,-45137.7
13400,54,810,573.41,921.372,-45130.2
13500,55,825,577.651,928.187,-45130.9
13600,56,840,576.528,926.382,-45122.2
13700,57,855,580.45,932.685,-45122.3
13800,58,870,581.625,934.574,-45117.6
13900,59,885,581.318,934.08,-45110.3
14000,60,900,586.214,941.948,-45111.9
14100,61,915,585.727,941.165,-45104.3
14200,62,930,589.326,946.948,-45103.9
14300,63,945,590.158,948.285,-45098.4
14400,64,960,593.128,953.057,-45096.7
14500,65,975,592.666,952.313,-45089.4
14600,66,990,595.539,956.931,-45087.2
14700,67,1005,596.938,959.179,-45083.2
14800,68,1020,598.656,961.938,-45079.3
14900,69,1035,599.694,963.607,-45074.2
15000,70,1050,603.316,969.427,-45073.8
15100,71,1065,603.546,969.797,-45067.4
15200,72,1080,607.256,975.757,-45067
15300,73,1095,606.095,973.892,-45058.2
15400,74,1110,611.02,981.805,-45060.1
15500,75,1125,610.549,981.05,-45052.4
15600,76,1140,613.981,986.564,-45051.8
15700,77,1155,613.586,985.929,-45044
15800,78,1170,617.062,991.515,-45043.7
15900,79,1185,616.886,991.232,-45036.3
16000,80,1200,621.26,998.26,-45037.1
16100,81,1215,620.11,996.411,-45028.2
16200,82,1230,625.021,1004.3,-45030
16300,83,1245,625.823,1005.59,-45024.7
16400,84,1260,626.687,1006.98,-45019.6
16500,85,1275,627.86,1008.86,-45014.9
16600,86,1290,630.101,1012.47,-45012
16700,87,1305,631.541,1014.78,-45007.7
16800,88,1320,635.284,1020.79,-45007.5
16900,89,1335,633.867,1018.52,-44998.2
17000,90,1350,638.344,1025.71,-44999.3
17100,91,1365,639.122,1026.96,-44993.9
17200,92,1380,640.99,1029.96,-44990.4
17300,93,1395,641.1,1030.14,-44983.7
17400,94,1410,643.814,1034.5,-44981.8
17500,95,1425,644.614,1035.79,-44976.3
17600,96,1440,646.93,1039.51,-44973.7
17700,97,1455,649.63,1043.85,-44971.4
17800,98,1470,651.538,1046.91,-44968
17900,99,1485,653.447,1049.98,-44964.7
18000,100,1500,653.173,1049.54,-44957.7
18100,101,1515,654.896,1052.31,-44954
18200,102,1530,657.125,1055.89,-44951.1
18300,103,1545,657.237,1056.07,-44944.5
18400,104,1560,661.573,1063.04,-44945.2
18500,105,1575,658.672,1058.37,-44933.3
18600,106,1590,668.325,1073.88,-44943.2
