#PARAMS:size=5083,delta_q=4,eq_steps=8000
Step,Cycle,Time,Average Temperature,Kinetic,Potential
8000,0,0,477.304,313.602,-18449.3
8100,1,15,479.674,315.159,-18448.2
8200,2,30,481.627,316.443,-18446.9
8300,3,45,486.483,319.633,-18447.6
8400,4,60,484.849,318.56,-18443.6
8500,5,75,486.707,319.78,-18442
8600,6,90,490.179,322.061,-18441.9
8700,7,105,491.709,323.067,-18440.3
8800,8,120,491.194,322.728,-18437.1
8900,9,135,495.534,325.58,-18437.3
9000,10,150,497.282,326.729,-18435.9
9100,11,165,498.038,327.225,-18433.6
9200,12,180,500.267,328.69,-18432.4
9300,13,195,503.675,330.929,-18432
9400,14,210,501.913,329.771,-18428
9500,15,225,505.796,332.323,-18428
9600,16,240,509.318,334.636,-18427.7
9700,17,255,508.55,334.132,-18424.3
9800,18,270,510.092,335.145,-18422.5
9900,19,285,512.404,336.664,-18421.4
10000,20,300,513.972,337.694,-18419.9
10100,21,315,517.324,339.897,-18419.5
10200,22,330,518.266,340.516,-18417.4
10300,23,345,518.078,340.392,-18414.2
10400,24,360,522.46,343.271,-18414.7
10500,25,375,525.911,345.539,-18414.4
10600,26,390,525.68,345.387,-18411.4
10700,27,405,525.637,345.359,-18408.5
10800,28,420,529.823,348.109,-18408.8
10900,29,435,531.044,348.911,-18407
11000,30,450,532.254,349.706,-18404.9
11100,31,465,531.98,349.526,-18402.1
11200,32,480,537.507,353.157,-18403.1
11300,33,495,537.323,353.037,-18400.1
11400,34,510,541.177,355.569,-18400.1
11500,35,525,542.835,356.658,-18398.6
11600,36,540,542.133,356.197,-18395.2
11700,37,555,543.909,357.364,-18393.9
11800,38,570,547.355,359.628,-18393.4
11900,39,585,547.011,359.402,-18390.5
12000,40,600,552.35,362.91,-18391.4
12100,41,615,553.24,363.494,-18389.2
12200,42,630,550.764,361.868,-18384.7
12300,43,645,556.691,365.762,-18386.3
12400,44,660,557.013,365.973,-18383.6
12500,45,675,559.048,367.31,-18382.2
12600,46,690,562.698,369.708,-18382.3
12700,47,705,563.737,370.392,-18380.2
12800,48,720,563.846,370.463,-18377.5
12900,49,735,566.843,372.432,-18376.9
13000,50,750,568.368,373.434,-18375.3
13100,51,765,570.534,374.857,-18374
13200,52,780,571.411,375.433,-18372
13300,53,795,573.489,376.799,-18370.7
13400,54,810,572.243,375.98,-18367
13500,55,825,577.571,379.481,-18368.1
13600,56,840,577.987,379.754,-18365.6
