#PARAMS:size=14993,delta_q=4,eq_steps=8000
Step,Cycle,Time,Average Temperature,Kinetic,Potential
8000,0,0,477.49,925.373,-54713.3
8100,1,15,481.392,932.936,-54713.9
8200,2,30,480.355,930.926,-54703.2
8300,3,45,485.306,940.521,-54705.5
8400,4,60,484.575,939.103,-54695.3
8500,5,75,489.604,948.85,-54698.4
8600,6,90,488.294,946.311,-54686.9
8700,7,105,492.156,953.795,-54687.2
8800,8,120,492.031,953.553,-54678.2
8900,9,135,496.041,961.325,-54679.1
9000,10,150,494.932,959.175,-54668.2
9100,11,165,499.715,968.445,-54670.5
9200,12,180,498.384,965.865,-54659.2
9300,13,195,503.681,976.131,-54662.4
9400,14,210,502.49,973.824,-54651.7
9500,15,225,506.498,981.591,-54652
9600,16,240,505.936,980.502,-54642.3
9700,17,255,509.889,988.162,-54642.8
9800,18,270,510.251,988.865,-54635.1
9900,19,285,513.564,995.285,-54634.1
10000,20,300,514.05,996.227,-54626.8
10100,21,315,517.82,1003.53,-54627
10200,22,330,515.589,999.21,-54613.4
10300,23,345,521.812,1011.27,-54618.6
10400,24,360,520.281,1008.3,-54607
10500,25,375,526.331,1020.03,-54611.8
10600,26,390,523.61,1014.75,-54597.8
10700,27,405,528.072,1023.4,-54599.3
10800,28,420,527.503,1022.3,-54589.6
10900,29,435,531.702,1030.44,-54590.4
11000,30,450,532.499,1031.98,-54583.3
11100,31,465,533.173,1033.29,-54577
11200,32,480,536.005,1038.77,-54574.8
11300,33,495,537.845,1042.34,-54570.3
11400,34,510,540.166,1046.84,-54566.9
11500,35,525,540.832,1048.13,-54560.3
11600,36,540,543.874,1054.03,-54558.4
11700,37,555,545.033,1056.27,-54552.9
11800,38,570,547.761,1061.56,-54550.4
11900,39,585,548.254,1062.51,-54543.3
12000,40,600,550.554,1066.97,-54539.9
12100,41,615,553.145,1071.99,-54537.1
12200,42,630,553.527,1072.73,-54529.3
12300,43,645,556.422,1078.34,-54527.7
12400,44,660,556.167,1077.85,-54518.8
12500,45,675,560.7,1086.63,-54520.2
12600,46,690,560.608,1086.46,-54511.6
12700,47,705,564.652,1094.29,-54511.9
12800,48,720,564.79,1094.56,-54504
12900,49,735,566.537,1097.95,-54499.4
13000,50,750,568.314,1101.39,-54495.2
13100,51,765,569.391,1103.48,-54489.5
13200,52,780,572.464,1109.43,-54487.4
13300,53,795,573.209,1110.88,-54481
13400,54,810,574.331,1113.05,-54474.9
13500,55,825,578.065,1120.29,-54474.7
13600,56,840,578.328,1120.8,-54467
13700,57,855,582.232,1128.36,-54467.1
13800,58,870,580.908,1125.8,-54456
13900,59,885,585.512,1134.72,-54457.8
14000,60,900,583.856,1131.51,-54445.8
14100,61,915,589.684,1142.8,-54450.1
14200,62,930,587.691,1138.94,-54437.4
14300,63,945,592.491,1148.24,-54439.8
14400,64,960,590.189,1143.78,-54426.2
14500,65,975,595.718,1154.5,-54430
14600,66,990,594.393,1151.93,-54418.7
14700,67,1005,600.033,1162.86,-54422.4
14800,68,1020,599.526,1161.88,-54413.1
14900,69,1035,602.538,1167.71,-54411.4
15000,70,1050,602.696,1168.02,-54403.3
15100,71,1065,605.493,1173.44,-54401
15200,72,1080,607.284,1176.91,-54396.5
15300,73,1095,608.014,1178.33,-54390
15400,74,1110,610.377,1182.91,-54386.9
15500,75,1125,611.834,1185.73,-54381.5
15600,76,1140,612.506,1187.03,-54374.7
15700,77,1155,616.103,1194.01,-54374.4
15800,78,1170,615.738,1193.3,-54365.4
15900,79,1185,619.326,1200.25,-54364.7
16000,80,1200,620.463,1202.45,-54358.7
16100,81,1215,623.581,1208.5,-54357.1
16200,82,1230,623.7,1208.73,-54349.2
16300,83,1245,626.592,1214.33,-54347.3
16400,84,1260,625.61,1212.43,-54337.1
16500,85,1275,628.052,1217.16,-54334.2
16600,86,1290,631.153,1223.17,-54332.4
16700,87,1305,633.632,1227.98,-54329.3
16800,88,1320,633.762,1228.23,-54321.6
16900,89,1335,635.831,1232.24,-54317.7
17000,90,1350,638.557,1237.52,-54315.1
17100,91,1365,637.699,1235.86,-54305.3
17200,92,1380,641.908,1244.01,-54305.8
17300,93,1395,642.595,1245.35,-54298.9
17400,94,1410,644.009,1248.09,-54293.8
17500,95,1425,646.515,1252.94,-54290.6
17600,96,1440,647.431,1254.72,-54284.5
17700,97,1455,649.606,1258.93,-54281.1
17800,98,1470,651.055,1261.74,-54275.9
17900,99,1485,653.031,1265.57,-54271.8
18000,100,1500,653.654,1266.78,-54264.8
18100,101,1515,656.309,1271.92,-54262.6
18200,102,1530,657.267,1273.78,-54256
18300,103,1545,660.23,1279.52,-54254.5
18400,104,1560,660.389,1279.83,-54246.6
18500,105,1575,663.951,1286.73,-54246
18600,106,1590,664.382,1287.57,-54238.7
18700,107,1605,666.902,1292.45,-54236
18800,108,1620,666.829,1292.31,-54227.7
18900,109,1635,670.67,1299.75,-54227.4
19000,110,1650,670.73,1299.87,-54219.5
19100,111,1665,672.291,1302.9,-54214.5
19200,112,1680,674.317,1306.82,-54210.7
19300,113,1695,675.593,1309.3,-54205.5
19400,114,1710,678.673,1315.27,-54203.5
19500,115,1725,679.152,1316.19,-54196.5
19600,116,1740,682,1321.71,-54194.3
19700,117,1755,680.456,1318.72,-54183
19800,118,1770,683.152,1323.94,-54180.8
19900,119,1785,684.386,1326.34,-54175
20000,120,1800,688.503,1334.32,-54175.3
20100,121,1815,690.405,1338,-54171
20200,122,1830,689.034,1335.34,-54160.4
20300,123,1845,692.413,1341.89,-54159.2
20400,124,1860,692.395,1341.86,-54150.8
20500,125,1875,696.628,1350.06,-54151.6
20600,126,1890,697.24,1351.25,-54144.7
20700,127,1905,699.883,1356.37,-54142.1
20800,128,1920,698.347,1353.39,-54131.3
20900,129,1935,700.669,1357.89,-54128
21000,130,1950,705.006,1366.3,-54128.5
21100,131,1965,704.46,1365.24,-54119.4
21200,132,1980,708.768,1373.59,-54120.1
21300,133,1995,706.842,1369.86,-54108
21400,134,2010,711.801,1379.47,-54110.5
21500,135,2025,710.615,1377.17,-54099.8
21600,136,2040,715.976,1387.56,-54102.8
21700,137,2055,713.998,1383.72,-54090.8
21800,138,2070,718.081,1391.64,-54091
21900,139,2085,717.875,1391.24,-54082.4
22000,140,2100,721.212,1397.7,-54081.3
22100,141,2115,720.22,1395.78,-54071.2
22200,142,2130,723.82,1402.76,-54070.6
22300,143,2145,723.66,1402.45,-54062.2
22400,144,2160,728.066,1410.99,-54063.1
22500,145,2175,726.901,1408.73,-54052.8
22600,146,2190,728.576,1411.98,-54048.1
22700,147,2205,729.928,1414.6,-54043
22800,148,2220,731.146,1416.96,-54037.4
22900,149,2235,731.814,1418.25,-54030.9
23000,150,2250,735.386,1425.18,-54030
23100,151,2265,734.906,1424.24,-54020.7
23200,152,2280,737.878,1430,-54019.1
23300,153,2295,738.677,1431.55,-54012.4
23400,154,2310,741.168,1436.38,-54009.6
23500,155,2325,742.254,1438.48,-54003.5
23600,156,2340,745.679,1445.12,-54002.5
23700,157,2355,744.902,1443.62,-53992.8
23800,158,2370,751.096,1455.62,-53997.4
23900,159,2385,749.318,1452.17,-53985.6
24000,160,2400,753.325,1459.94,-53985.8
24100,161,2415,750.231,1453.94,-53971.5
