#PARAMS:size=1415,delta_q=4,eq_steps=8000
Step,Cycle,Time,Average Temperature,Kinetic,Potential
8000,0,0,481.326,88.036,-5087.22
8100,1,15,480.279,87.8445,-5086.24
8200,2,30,484.815,88.6741,-5086.29
8300,3,45,484.884,88.6867,-5085.59
8400,4,60,484.718,88.6564,-5084.79
8500,5,75,488.245,89.3014,-5084.7
8600,6,90,491.581,89.9117,-5084.59
8700,7,105,494.696,90.4813,-5084.38
8800,8,120,492.248,90.0335,-5083.14
8900,9,135,494.584,90.4609,-5082.82
9000,10,150,501.098,91.6522,-5083.37
9100,11,165,502.424,91.8949,-5082.85
9200,12,180,497.261,90.9505,-5081.09
9300,13,195,501.329,91.6945,-5081.09
9400,14,210,504.158,92.212,-5080.87
9500,15,225,510.824,93.4312,-5081.38
9600,16,240,510.329,93.3407,-5080.53
9700,17,255,512.571,93.7508,-5080.25
9800,18,270,513.744,93.9653,-5079.63
9900,19,285,514.589,94.1199,-5078.95
10000,20,300,512.333,93.7072,-5077.79
10100,21,315,516.773,94.5193,-5077.87
10200,22,330,521.499,95.3836,-5078.03
10300,23,345,520.324,95.1687,-5077.12
10400,24,360,527.477,96.477,-5077.75
10500,25,375,527.168,96.4205,-5076.98
10600,26,390,528.752,96.7104,-5076.5
10700,27,405,529.271,96.8052,-5075.83
10800,28,420,533.29,97.5403,-5075.84
10900,29,435,531.142,97.1475,-5074.67
11000,30,450,534.907,97.8361,-5074.67
11100,31,465,534.38,97.7397,-5073.85
11200,32,480,541.427,99.0285,-5074.39
11300,33,495,541.519,99.0453,-5073.65
11400,34,510,538.684,98.5269,-5072.32
11500,35,525,543.004,99.3171,-5072.37
11600,36,540,546.117,99.8864,-5072.19
11700,37,555,551.453,100.862,-5072.45
11800,38,570,547.209,100.086,-5070.92
11900,39,585,548.979,100.41,-5070.48
12000,40,600,553.733,101.279,-5070.65
12100,41,615,555.59,101.619,-5070.26
12200,42,630,558.651,102.179,-5070.06
12300,43,645,554.318,101.386,-5068.49
12400,44,660,555.363,101.578,-5067.95
12500,45,675,560.08,102.44,-5068.04
12600,46,690,560.545,102.525,-5067.36
12700,47,705,562.443,102.872,-5067
12800,48,720,559.903,102.408,-5065.73
12900,49,735,567.568,103.81,-5066.39
13000,50,750,570.172,104.286,-5066.16
13100,51,765,571.308,104.494,-5065.58
13200,52,780,570.11,104.275,-5064.57
13300,53,795,572.511,104.714,-5064.35
13400,54,810,579.319,105.959,-5064.88
13500,55,825,578.145,105.744,-5063.84
13600,56,840,576.135,105.377,-5062.69
13700,57,855,577.643,105.652,-5062.22
13800,58,870,578.951,105.892,-5061.73
13900,59,885,579.814,106.05,-5061.13
14000,60,900,582.118,106.471,-5060.89
14100,61,915,587.587,107.471,-5061.15
14200,62,930,587.341,107.426,-5060.35
14300,63,945,590.331,107.973,-5060.1
14400,64,960,587.134,107.389,-5058.78
14500,65,975,592.819,108.428,-5059.12
14600,66,990,595.749,108.964,-5058.88
14700,67,1005,597.937,109.364,-5058.55
14800,68,1020,598.854,109.532,-5058.01
14900,69,1035,601.511,110.018,-5057.71
15000,70,1050,606.303,110.895,-5057.91
15100,71,1065,605.761,110.795,-5057.13
15200,72,1080,607.921,111.19,-5056.74
15300,73,1095,602.802,110.254,-5055
15400,74,1110,600.754,109.88,-5053.85
15500,75,1125,603.489,110.38,-5053.62
15600,76,1140,611.306,111.81,-5054.39
15700,77,1155,612.103,111.955,-5053.71
15800,78,1170,616.759,112.807,-5053.84
15900,79,1185,620.727,113.533,-5053.87
16000,80,1200,620.286,113.452,-5053.06
16100,81,1215,619.697,113.344,-5052.14
16200,82,1230,625.053,114.324,-5052.43
16300,83,1245,624.319,114.19,-5051.53
16400,84,1260,618.613,113.146,-5049.69
16500,85,1275,624.124,114.154,-5049.93
16600,86,1290,631.408,115.486,-5050.53
16700,87,1305,633.202,115.814,-5050.1
16800,88,1320,630.291,115.282,-5048.83
16900,89,1335,629.065,115.058,-5047.87
17000,90,1350,633.514,115.871,-5047.92
17100,91,1365,637.22,116.549,-5047.88
17200,92,1380,635.66,116.264,-5046.83
17300,93,1395,636.978,116.505,-5046.3
17400,94,1410,643.114,117.627,-5046.71
17500,95,1425,641.945,117.414,-5045.69
17600,96,1440,641.268,117.29,-5044.82
17700,97,1455,643.745,117.743,-5044.54
17800,98,1470,649.707,118.833,-5044.96
17900,99,1485,647.965,118.515,-5043.94
18000,100,1500,644.926,117.959,-5042.55
18100,101,1515,647.826,118.489,-5042.33
18200,102,1530,646.22,118.196,-5041.29
18300,103,1545,648.782,118.664,-5041.04
18400,104,1560,657.101,120.186,-5041.85
18500,105,1575,660.908,120.882,-5041.82
18600,106,1590,660.38,120.785,-5040.98
18700,107,1605,659.693,120.66,-5040.1
18800,108,1620,665.266,121.679,-5040.41
18900,109,1635,661.554,121,-5038.91
19000,110,1650,664.193,121.483,-5038.63
19100,111,1665,663.419,121.341,-5037.68
19200,112,1680,671.8,122.874,-5038.57
19300,113,1695,671.355,122.793,-5037.83
19400,114,1710,675.332,123.52,-5037.81
19500,115,1725,665.04,121.638,-5035.1
19600,116,1740,671.905,122.893,-5035.63
19700,117,1755,675.436,123.539,-5035.5
19800,118,1770,678.131,124.032,-5035.28
19900,119,1785,679.788,124.335,-5034.88
20000,120,1800,686.003,125.472,-5035.26
20100,121,1815,682.643,124.857,-5033.92
20200,122,1830,685.992,125.47,-5033.79
20300,123,1845,686.73,125.605,-5033.19
20400,124,1860,684.255,125.152,-5031.98
20500,125,1875,691.409,126.461,-5032.56
20600,126,1890,696.415,127.376,-5032.78
20700,127,1905,694.372,127.003,-5031.74
20800,128,1920,690.132,126.227,-5030.19
20900,129,1935,695.13,127.141,-5030.44
21000,130,1950,687.691,125.781,-5028.26
21100,131,1965,694.351,126.999,-5028.8
21200,132,1980,692.882,126.73,-5027.79
21300,133,1995,693.251,126.798,-5027.1
21400,134,2010,689.745,126.156,-5025.68
21500,135,2025,686.935,125.642,-5024.34
21600,136,2040,703.952,128.755,-5026.82
21700,137,2055,698.762,127.806,-5025.17
21800,138,2070,708.521,129.59,-5026.17
21900,139,2085,702.674,128.521,-5024.37
22000,140,2100,693.333,126.813,-5021.88
22100,141,2115,694.716,127.066,-5021.32
22200,142,2130,694.538,127.033,-5020.53
22300,143,2145,698.305,127.722,-5020.51
22400,144,2160,704.126,128.787,-5020.88
22500,145,2175,708.843,129.65,-5020.94
22600,146,2190,709.973,129.856,-5020.45
22700,147,2205,717.699,131.269,-5021.14
22800,148,2220,712.161,130.256,-5019.41
