#PARAMS:size=55,delta_q=4,eq_steps=8000
Step,Cycle,Time,Average Temperature,Kinetic,Potential
8000,0,0,510.648,3.63035,-185.855
8100,1,15,496.883,3.53249,-185.726
8200,2,30,530.301,3.77007,-185.934
8300,3,45,506.532,3.60109,-185.732
8400,4,60,491.846,3.49668,-185.601
8500,5,75,485.843,3.454,-185.53
8600,6,90,515.771,3.66677,-185.712
8700,7,105,497.643,3.53789,-185.56
8800,8,120,531.195,3.77642,-185.771
8900,9,135,492.061,3.49821,-185.461
9000,10,150,543.098,3.86105,-185.795
9100,11,165,535.705,3.80848,-185.71
9200,12,180,531.413,3.77798,-185.653
9300,13,195,541.988,3.85316,-185.697
9400,14,210,525.26,3.73423,-185.553
9500,15,225,523.98,3.72513,-185.512
9600,16,240,530.334,3.7703,-185.542
9700,17,255,534.894,3.80272,-185.534
9800,18,270,534.424,3.79938,-185.509
9900,19,285,545.815,3.88036,-185.558
10000,20,300,541.268,3.84804,-185.492
10100,21,315,562.543,3.99929,-185.624
10200,22,330,537.648,3.8223,-185.412
10300,23,345,513.5,3.65063,-185.197
10400,24,360,519.636,3.69425,-185.216
10500,25,375,524.421,3.72827,-185.227
10600,26,390,532.178,3.78341,-185.265
10700,27,405,545.684,3.87943,-185.325
10800,28,420,509.89,3.62496,-185.043
10900,29,435,514.412,3.65711,-185.051
11000,30,450,506.526,3.60104,-184.962
11100,31,465,493.347,3.50735,-184.85
11200,32,480,540.693,3.84395,-185.16
11300,33,495,524.424,3.72828,-185.013
11400,34,510,537.129,3.81861,-185.074
11500,35,525,540.872,3.84522,-185.065
11600,36,540,500.245,3.55639,-184.75
11700,37,555,544.63,3.87194,-185.036
11800,38,570,535.296,3.80558,-184.949
11900,39,585,532.676,3.78695,-184.89
12000,40,600,514.437,3.65728,-184.729
12100,41,615,584.185,4.15314,-185.212
12200,42,630,525.886,3.73868,-184.773
12300,43,645,563.595,4.00676,-185.012
12400,44,660,545.334,3.87694,-184.854
12500,45,675,546.901,3.88808,-184.827
12600,46,690,592.585,4.21287,-185.125
