#PARAMS:size=13,delta_q=4,eq_steps=8000
Step,Cycle,Time,Average Temperature,Kinetic,Potential
8000,0,0,536.795,0.90202,-41.1705
8100,1,15,572.929,0.962739,-41.2242
8200,2,30,535.227,0.899385,-41.1511
8300,3,45,521.828,0.876869,-41.116
8400,4,60,572.885,0.962665,-41.1983
8500,5,75,545.735,0.917043,-41.1446
8600,6,90,543.507,0.913299,-41.1318
8700,7,105,487.032,0.818399,-41.0305
8800,8,120,512.584,0.861335,-41.066
8900,9,135,568.343,0.955032,-41.1558
9000,10,150,606.809,1.01967,-41.2095
9100,11,165,576.48,0.968706,-41.1508
9200,12,180,551.538,0.926793,-41.0984
9300,13,195,535.041,0.899071,-41.0624
9400,14,210,525.561,0.883142,-41.0382
9500,15,225,550.402,0.924884,-41.0721
9600,16,240,602.644,1.01267,-41.1524
9700,17,255,511.127,0.858887,-40.9898
9800,18,270,552.261,0.928008,-41.0545
9900,19,285,519.374,0.872746,-40.9944
10000,20,300,495.311,0.83231,-40.9475
10100,21,315,629.666,1.05808,-41.1728
10200,22,330,531.154,0.89254,-40.9929
10300,23,345,542.769,0.912059,-41.0065
10400,24,360,555.71,0.933804,-41.0146
10500,25,375,565.203,0.949756,-41.0314
10600,26,390,592.888,0.996277,-41.0709
10700,27,405,504.2,0.847248,-40.9187
10800,28,420,641.399,1.07779,-41.1451
10900,29,435,635.901,1.06855,-41.1274
11000,30,450,549.61,0.923553,-40.9769
11100,31,465,565.872,0.950879,-41.0045
11200,32,480,580.687,0.975774,-41.0154
11300,33,495,603.275,1.01373,-41.0492
11400,34,510,612.895,1.0299,-41.0647
11500,35,525,671.692,1.1287,-41.1541
11600,36,540,627.701,1.05478,-41.0662
11700,37,555,463.233,0.778408,-40.7695
11800,38,570,453.866,0.762667,-40.7477
11900,39,585,498.143,0.837069,-40.8189
12000,40,600,521.181,0.875783,-40.8518
12100,41,615,532.389,0.894615,-40.8626
12200,42,630,609.685,1.0245,-40.9935
12300,43,645,644.987,1.08382,-41.0431
12400,44,660,625.141,1.05047,-41.0012
12500,45,675,575.409,0.966906,-40.9137
12600,46,690,632.614,1.06303,-41.0021
12700,47,705,583.025,0.979704,-40.9144
12800,48,720,574.233,0.96493,-40.8921
12900,49,735,588.891,0.98956,-40.9099
13000,50,750,605.198,1.01696,-40.9355
13100,51,765,568.11,0.95464,-40.8615
13200,52,780,626.796,1.05325,-40.9568
13300,53,795,513.599,0.863041,-40.7553
13400,54,810,600.191,1.00855,-40.8912
13500,55,825,613.843,1.03149,-40.9074
13600,56,840,638.356,1.07268,-40.9461
13700,57,855,568.703,0.955638,-40.8144
13800,58,870,555.936,0.934183,-40.7905
13900,59,885,616.328,1.03566,-40.8834
14000,60,900,657.366,1.10463,-40.949
14100,61,915,754.675,1.26814,-41.1143
14200,62,930,675.721,1.13547,-40.9587
14300,63,945,545.252,0.916231,-40.7302
14400,64,960,576.828,0.96929,-40.7774
14500,65,975,649.202,1.09091,-40.8958
14600,66,990,674.009,1.13259,-40.9343
14700,67,1005,637.224,1.07078,-40.8602
14800,68,1020,570.625,0.958867,-40.7417
14900,69,1035,675.426,1.13497,-40.9159
15000,70,1050,683.98,1.14935,-40.9188
15100,71,1065,681.072,1.14446,-40.9119
15200,72,1080,555.542,0.933522,-40.6923
15300,73,1095,551.732,0.92712,-40.6751
15400,74,1110,640.172,1.07573,-40.8167
15500,75,1125,745.695,1.25305,-40.9905
15600,76,1140,664.519,1.11664,-40.8527
15700,77,1155,649.524,1.09145,-40.8167
15800,78,1170,681.274,1.1448,-40.8637
15900,79,1185,681.413,1.14503,-40.8586
16000,80,1200,646.503,1.08637,-40.791
16100,81,1215,583.768,0.980952,-40.683
16200,82,1230,687.218,1.15479,-40.8505
16300,83,1245,658.331,1.10625,-40.8015
16400,84,1260,622.245,1.04561,-40.7235
16500,85,1275,613.156,1.03034,-40.6996
16600,86,1290,635.956,1.06865,-40.732
16700,87,1305,685.978,1.1527,-40.8137
16800,88,1320,672.467,1.13,-40.7852
16900,89,1335,605.067,1.01674,-40.6573
17000,90,1350,693.702,1.16568,-40.8036
17100,91,1365,614.056,1.03185,-40.6642
17200,92,1380,666.615,1.12017,-40.7497
17300,93,1395,667.859,1.12226,-40.7418
17400,94,1410,597.105,1.00336,-40.6121
17500,95,1425,700.212,1.17662,-40.7829
17600,96,1440,611.278,1.02718,-40.6225
17700,97,1455,631.417,1.06102,-40.6534
17800,98,1470,735.602,1.23609,-40.8251
17900,99,1485,698.965,1.17453,-40.7605
18000,100,1500,595.048,0.999906,-40.5732
18100,101,1515,718.656,1.20762,-40.7817
18200,102,1530,620.507,1.04269,-40.6014
18300,103,1545,736.49,1.23758,-40.7879
18400,104,1560,720.982,1.21152,-40.7596
18500,105,1575,683.164,1.14798,-40.6933
18600,106,1590,669.456,1.12494,-40.6598
18700,107,1605,723.261,1.21535,-40.7497
18800,108,1620,633.406,1.06436,-40.5822
18900,109,1635,772.711,1.29845,-40.8169
19000,110,1650,650.815,1.09362,-40.6025
19100,111,1665,696.708,1.17073,-40.6752
19200,112,1680,693.527,1.16539,-40.6649
19300,113,1695,700.594,1.17726,-40.6652
19400,114,1710,646.92,1.08707,-40.5697
19500,115,1725,678.824,1.14068,-40.6162
19600,116,1740,801.817,1.34736,-40.8201
19700,117,1755,707.442,1.18877,-40.655
19800,118,1770,688.412,1.15679,-40.6194
19900,119,1785,796.46,1.33836,-40.7957
20000,120,1800,761.372,1.27939,-40.7261
20100,121,1815,745.365,1.2525,-40.6978
20200,122,1830,673.314,1.13142,-40.5669
20300,123,1845,742.889,1.24834,-40.6783
20400,124,1860,746.778,1.25487,-40.6816
20500,125,1875,737.117,1.23864,-40.6535
20600,126,1890,618.724,1.03969,-40.4478
20700,127,1905,717.612,1.20586,-40.6047
20800,128,1920,774.92,1.30216,-40.6999
20900,129,1935,700.241,1.17667,-40.5652
21000,130,1950,762.201,1.28079,-40.6654
21100,131,1965,662.939,1.11399,-40.4866
21200,132,1980,693.508,1.16536,-40.5316
21300,133,1995,747.526,1.25613,-40.6143
21400,134,2010,673.972,1.13253,-40.4804
21500,135,2025,660.534,1.10995,-40.4487
21600,136,2040,735.954,1.23668,-40.5713
21700,137,2055,757.491,1.27287,-40.5997
21800,138,2070,732.675,1.23117,-40.5539
21900,139,2085,780.514,1.31156,-40.6347
22000,140,2100,759.209,1.27576,-40.5938
22100,141,2115,819.931,1.3778,-40.6937
22200,142,2130,699.854,1.17602,-40.4769
22300,143,2145,831.941,1.39798,-40.6894
22400,144,2160,734.621,1.23444,-40.5139
22500,145,2175,712.432,1.19716,-40.4668
22600,146,2190,807.324,1.35661,-40.6231
22700,147,2205,763.545,1.28305,-40.5362
22800,148,2220,788.915,1.32568,-40.5754
22900,149,2235,719.193,1.20852,-40.4509
23000,150,2250,796.513,1.33844,-40.5764
23100,151,2265,742.439,1.24758,-40.4726
23200,152,2280,749.207,1.25895,-40.48
23300,153,2295,778.723,1.30855,-40.5197
23400,154,2310,614.34,1.03232,-40.2233
23500,155,2325,587.575,0.98735,-40.1734
23600,156,2340,764.774,1.28511,-40.4732
23700,157,2355,788.119,1.32434,-40.5052
23800,158,2370,718.073,1.20664,-40.3755
23900,159,2385,783.298,1.31624,-40.4812
24000,160,2400,696.334,1.17011,-40.332
24100,161,2415,686.903,1.15426,-40.3112
24200,162,2430,668.669,1.12362,-40.2704
24300,163,2445,802.662,1.34878,-40.4904
24400,164,2460,783.059,1.31584,-40.4513
24500,165,2475,675.788,1.13558,-40.2608
24600,166,2490,822.3,1.38178,-40.5058
24700,167,2505,772.593,1.29825,-40.4169
24800,168,2520,752.967,1.26527,-40.3711
24900,169,2535,728.989,1.22498,-40.3265
25000,170,2550,806.026,1.35443,-40.4558
25100,171,2565,824.285,1.38511,-40.4693
25200,172,2580,620.97,1.04347,-40.1159
25300,173,2595,670.208,1.1262,-40.1903
25400,174,2610,757.795,1.27338,-40.3408
25500,175,2625,756.503,1.27121,-40.3301
25600,176,2640,845.507,1.42077,-40.4775
25700,177,2655,894.333,1.50282,-40.5525
25800,178,2670,747.395,1.25591,-40.2964
25900,179,2685,723.323,1.21546,-40.2525
26000,180,2700,904.78,1.52037,-40.5527
26100,181,2715,824.971,1.38626,-40.4106
26200,182,2730,749.685,1.25976,-40.2722
26300,183,2745,873.19,1.46729,-40.4784
26400,184,2760,924.523,1.55355,-40.5566
26500,185,2775,751.105,1.26214,-40.2531
26600,186,2790,842.484,1.41569,-40.404
26700,187,2805,784.774,1.31872,-40.3028
26800,188,2820,745.485,1.2527,-40.2298
26900,189,2835,854.158,1.43531,-40.398
27000,190,2850,933.606,1.56881,-40.5313
27100,191,2865,876.125,1.47222,-40.4228
27200,192,2880,923.862,1.55244,-40.4988
27300,193,2895,869.252,1.46067,-40.3979
27400,194,2910,874.172,1.46894,-40.3957
27500,195,2925,781.99,1.31404,-40.2328
27600,196,2940,865.16,1.4538,-40.3683
27700,197,2955,718.291,1.207,-40.104
27800,198,2970,794.431,1.33495,-40.2293
27900,199,2985,870.845,1.46335,-40.3529
28000,200,3000,813.753,1.36741,-40.2602
28100,201,3015,878.894,1.47688,-40.348
28200,202,3030,809.644,1.36051,-40.2296
28300,203,3045,873.026,1.46702,-40.3392
28400,204,3060,791.898,1.33069,-40.1853
28500,205,3075,921.187,1.54794,-40.3994
28600,206,3090,856.68,1.43955,-40.2839
28700,207,3105,741.781,1.24647,-40.0855
28800,208,3120,863.624,1.45122,-40.2832
28900,209,3135,865.461,1.4543,-40.2779
29000,210,3150,896.133,1.50584,-40.3225
29100,211,3165,836.243,1.40521,-40.2144
29200,212,3180,915.941,1.53913,-40.3461
29300,213,3195,850.621,1.42937,-40.2253
29400,214,3210,902.421,1.51641,-40.3092
29500,215,3225,819.02,1.37627,-40.1603
29600,216,3240,895.56,1.50488,-40.2876
29700,217,3255,902.602,1.51672,-40.3014
29800,218,3270,836.572,1.40576,-40.175
29900,219,3285,888.358,1.49278,-40.252
30000,220,3300,792.583,1.33184,-40.0825
30100,221,3315,861.064,1.44692,-40.1894
30200,222,3330,875.441,1.47107,-40.2081
30300,223,3345,826.597,1.389,-40.1182
30400,224,3360,932.842,1.56753,-40.2889
30500,225,3375,763.877,1.2836,-40.0021
30600,226,3390,858.608,1.44279,-40.1555
30700,227,3405,826.401,1.38867,-40.0916
30800,228,3420,786.271,1.32123,-40.0132
30900,229,3435,835.479,1.40392,-40.0898
31000,230,3450,945.581,1.58893,-40.2734
31100,231,3465,825.427,1.38703,-40.0555
31200,232,3480,867.498,1.45773,-40.1269
31300,233,3495,900.918,1.51388,-40.179
31400,234,3510,897.295,1.5078,-40.1678
31500,235,3525,864.171,1.45214,-40.1056
31600,236,3540,1040.2,1.74793,-40.3947
31700,237,3555,842.943,1.41646,-40.0463
31800,238,3570,903.168,1.51767,-40.1414
31900,239,3585,815.042,1.36958,-39.9906
32000,240,3600,931.394,1.5651,-40.1778
32100,241,3615,782.607,1.31508,-39.9134
32200,242,3630,904.96,1.52068,-40.1155
32300,243,3645,741.785,1.24648,-39.8324
32400,244,3660,887.041,1.49057,-40.073
32500,245,3675,846.451,1.42236,-39.9954
32600,246,3690,798.15,1.3412,-39.9071
32700,247,3705,759.248,1.27583,-39.8354
32800,248,3720,926.433,1.55676,-40.1087
32900,249,3735,729.613,1.22603,-39.7743
33000,250,3750,941.84,1.58265,-40.1335
33100,251,3765,926.604,1.55705,-40.0997
33200,252,3780,903.162,1.51765,-40.046
33300,253,3795,877.625,1.47474,-39.9989
33400,254,3810,875.161,1.4706,-39.9955
33500,255,3825,932.499,1.56695,-40.0793
33600,256,3840,908.876,1.52726,-40.0305
33700,257,3855,1074.51,1.80559,-40.3147
33800,258,3870,880.968,1.48036,-39.9783
33900,259,3885,870.691,1.46309,-39.9537
34000,260,3900,1031.99,1.73413,-40.2265
34100,261,3915,890.747,1.49679,-39.977
34200,262,3930,954.299,1.60358,-40.0756
34300,263,3945,977.652,1.64283,-40.1149
34400,264,3960,916.241,1.53963,-40.0037
34500,265,3975,899.975,1.5123,-39.9689
34600,266,3990,860.748,1.44638,-39.8904
34700,267,4005,980.146,1.64702,-40.0853
34800,268,4020,785.084,1.31924,-39.7423
34900,269,4035,848.279,1.42543,-39.8376
35000,270,4050,992.521,1.66781,-40.0714
35100,271,4065,829.081,1.39317,-39.7883
35200,272,4080,762.982,1.2821,-39.6748
35300,273,4095,914.46,1.53664,-39.928
35400,274,4110,946.49,1.59046,-39.9744
35500,275,4125,1045.31,1.75651,-40.1371
35600,276,4140,948.806,1.59436,-39.9673
35700,277,4155,954.587,1.60407,-39.9625
35800,278,4170,944.911,1.58781,-39.9394
35900,279,4185,926.427,1.55675,-39.8944
36000,280,4200,951.528,1.59893,-39.9349
36100,281,4215,1036.82,1.74225,-40.0754
36200,282,4230,1062.81,1.78592,-40.1122
36300,283,4245,889.01,1.49388,-39.8079
36400,284,4260,939.139,1.57811,-39.8819
36500,285,4275,919.153,1.54453,-39.8407
36600,286,4290,769.731,1.29344,-39.5699
36700,287,4305,932.034,1.56617,-39.8492
36800,288,4320,961.788,1.61617,-39.8932
36900,289,4335,1002.21,1.68409,-39.9556
37000,290,4350,851.672,1.43113,-39.6899
37100,291,4365,1068.75,1.79591,-40.0564
37200,292,4380,910.701,1.53032,-39.7823
37300,293,4395,896.389,1.50627,-39.7512
37400,294,4410,999.046,1.67878,-39.9214
37500,295,4425,1012.53,1.70143,-39.9321
37600,296,4440,914.133,1.53609,-39.7626
37700,297,4455,1058.51,1.77869,-39.9971
37800,298,4470,1038.13,1.74445,-39.9546
37900,299,4485,968.895,1.62811,-39.8288
38000,300,4500,1109.91,1.86507,-40.0702
38100,301,4515,1055.31,1.77332,-39.9742
38200,302,4530,899.661,1.51177,-39.7017
